filter_pair,validation_trades,validation_accuracy,validation_avg_net_return,validation_compounded_return,test_trades,test_accuracy,test_avg_net_return,test_compounded_return
ret_72_up+atr_high,9,0.5555555555555556,0.017391049190389467,0.16162515819610168,5,0.8,0.02031317951929568,0.10195386368067161
above_sma_72+ret_288_up,14,0.5714285714285714,0.015419837378896946,0.23135566732290824,4,0.75,0.02278349806293027,0.09057706694711642
above_sma_72+above_sma_288,15,0.6,0.014848880125041437,0.23969384513182335,6,0.8333333333333334,0.0179943890346579,0.10900684953392292
above_sma_72+ret_72_up,16,0.5625,0.013818899730471651,0.23714604247065774,5,0.8,0.02031317951929568,0.10195386368067161
weekday+above_sma_72,19,0.5789473684210527,0.01345887217642554,0.2793237357569722,4,0.75,0.02278349806293027,0.09057706694711642
above_sma_72+atr_high,12,0.5,0.012757612373580918,0.1575045180667618,5,0.8,0.02031317951929568,0.10195386368067161
hour_16_23+atr_high,10,0.6,0.012748925339165986,0.13261478000109195,5,0.8,0.020909554098647257,0.10523990906444514
hour_16_23+vol_high,12,0.75,0.01261221508776277,0.15992630029036214,5,0.8,0.020909554098647257,0.10523990906444514
ret_288_up+atr_high,12,0.4166666666666667,0.012548628685441654,0.15462936507571512,6,0.8333333333333334,0.018707375134936786,0.11365758168860296
weekday+ret_72_up,18,0.5555555555555556,0.0123598768689807,0.23854063469062714,4,0.75,0.02278349806293027,0.09057706694711642
above_sma_288+atr_high,12,0.4166666666666667,0.012133061647616862,0.14884306273212755,6,0.8333333333333334,0.019957112841086342,0.12198383602491414
hour_16_23+ret_72_up,16,0.5625,0.010365627975143878,0.17546748166549153,4,0.75,0.025403572846344077,0.10200719398418134
hour_16_23+above_sma_72,15,0.5333333333333333,0.009273082942570012,0.1444738179123759,5,0.8,0.020292297039859,0.10183880046783433
above_sma_288+ret_72_up,15,0.4,0.009140438184389317,0.13896871730006044,5,0.8,0.02031317951929568,0.10195386368067161
ret_72_up+ret_288_up,14,0.35714285714285715,0.008947449267205563,0.12563858657403282,4,0.75,0.02278349806293027,0.09057706694711642
weekday+atr_high,18,0.5,0.008365060030987267,0.1537588311798479,6,0.8333333333333334,0.018707375134936786,0.11365758168860296
weekday+above_sma_288,22,0.45454545454545453,0.008078661799134988,0.18476464078540067,6,0.6666666666666666,0.016155754680697774,0.09665766181166746
ret_72_up+vol_high,10,0.6,0.007928346617349804,0.07950045190424193,5,0.8,0.02031317951929568,0.10195386368067161
