asset,p_rule,filter,side,n,accuracy,avg_net_1x,total_1x,avg_net_10x,total_10x
btc_5m,short_p0,rsi_mid,-1,25,0.6,0.002804229578188326,0.07118711406851141,0.02804229578188325,0.7921527155334991
btc_5m,long_p80,high_vol72,1,39,0.6666666666666666,0.0014374192514545212,0.05462137615401197,0.014374192514545192,0.3137515593106326
btc_5m,short_p0,mom72_down,-1,32,0.5,0.001390093938101177,0.043960875586120496,0.013900939381011772,0.3696829906147767
btc_5m,long_p80,high_vol24,1,44,0.6818181818181818,0.0013313357821154578,0.056994749588398674,0.013313357821154564,0.3143354137919734
btc_5m,long_p80,high_atr,1,43,0.6511627906976745,0.0011534102342125063,0.047635810286198454,0.011534102342125057,0.2108717066690573
btc_5m,short_p0,low_volume,-1,26,0.5384615384615384,0.0011257960795225718,0.028623077617591308,0.011257960795225709,0.21279257275131025
btc_5m,short_p0,trend288_down,-1,46,0.5,0.0010003985147868653,0.04419188839855703,0.010003985147868637,0.20280880838490511
btc_5m,short_p20,high_vol24,-1,57,0.543859649122807,0.0007483060512466482,0.04031135005502251,0.00748306051246647,0.13355258018125027
btc_5m,short_p0,mom24_down,-1,34,0.5294117647058824,0.000721014924955896,0.022715408012679905,0.007210149249558952,0.0364539214669557
btc_5m,short_p0,trend72_up,-1,43,0.6046511627906976,0.00019332958422879772,0.005008289624041984,0.001933295842287964,-0.2311762597289133
btc_5m,short_p20,high_atr,-1,56,0.5178571428571429,0.00014044967466794058,0.004778390261689358,0.001404496746679393,-0.19836158079847854
btc_5m,short_p20,mom24_down,-1,108,0.5,4.4116443725154075e-05,-0.00022584227220856512,0.0004411644372515329,-0.36164486566560483
btc_5m,short_p0,all,-1,73,0.5342465753424658,3.767209624224257e-05,-0.0012528581377021508,0.00037672096242241296,-0.32009278606706715
btc_5m,long_p60,high_vol24,1,85,0.6,8.643130061257993e-06,-0.003443973559415614,8.643130061256822e-05,-0.338261134838853
btc_5m,short_p20,rsi_mid,-1,106,0.5188679245283019,-5.667876147448988e-05,-0.010486536334087138,-0.0005667876147449088,-0.3949263864791639
btc_5m,long_p60,high_vol72,1,79,0.5822784810126582,-0.0001128208495960896,-0.012526887158880728,-0.0011282084959609066,-0.3705275746532304
btc_5m,short_p40,high_vol24,-1,103,0.5242718446601942,-0.0001258109955069681,-0.01835228206651862,-0.0012581099550696977,-0.49781885266106385
btc_5m,short_p0,trend72_down,-1,30,0.43333333333333335,-0.0001854369698718207,-0.006229946385902574,-0.0018543696987182025,-0.11565268042685883
btc_5m,short_p20,mom72_down,-1,119,0.48739495798319327,-0.0003353572013372098,-0.043930241841871664,-0.003353572013372114,-0.5868115800552458
btc_5m,short_p40,low_atr,-1,87,0.5747126436781609,-0.0004489026442392877,-0.04041404266129589,-0.004489026442392886,-0.45837624539199806
btc_5m,short_p40,high_atr,-1,103,0.5145631067961165,-0.0004511219321758025,-0.05074560044441456,-0.004511219321758045,-0.6433598896608982
btc_5m,short_p0,mom24_up,-1,39,0.5384615384615384,-0.0005580626775081226,-0.023435909894968687,-0.005580626775081233,-0.34400632787358354
btc_5m,long_p80,mom24_up,1,89,0.5168539325842697,-0.0005959281415951283,-0.05379256047236736,-0.005959281415951291,-0.5312420562574299
btc_5m,long_p80,low_volume,1,82,0.5609756097560976,-0.0006184321863135838,-0.05190290874478953,-0.006184321863135848,-0.5482835925860473
