asset,signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
sol_5m,1,2026-01-27 05:55:00,2026-01-27 06:00:00,2026-01-27 07:55:00,124.42,124.42,124.46,124.77646484375,0.002865012407571155,0.8,1,0.00032149172158812966,-0.0010785082784118703
sol_5m,2,2026-01-27 07:55:00,2026-01-27 08:00:00,2026-01-27 09:55:00,124.46,124.46,123.69,124.48249053955078,0.00018070496184146022,0.6,1,-0.00618672665916753,-0.00758672665916753
sol_5m,3,2026-01-27 09:55:00,2026-01-27 10:00:00,2026-01-27 11:55:00,123.69,123.69,124.08,123.26344757080078,-0.003448560346019991,0.2,-1,-0.0031530439000728716,-0.004553043900072872
sol_5m,4,2026-01-27 11:55:00,2026-01-27 12:00:00,2026-01-27 13:55:00,124.08,124.06,123.12,124.22004852294921,0.0011286953816023626,0.6,1,-0.007576978881186469,-0.00897697888118647
sol_5m,5,2026-01-27 13:55:00,2026-01-27 14:00:00,2026-01-27 15:55:00,123.12,123.12,124.94,123.0495391845703,-0.000572293822528347,0.2,-1,-0.01478232618583486,-0.01618232618583486
sol_5m,6,2026-01-27 15:55:00,2026-01-27 16:00:00,2026-01-27 17:55:00,124.94,124.94,123.96,124.72744293212891,-0.0017012731540827053,0.2,-1,0.007843765007203518,0.006443765007203518
sol_5m,7,2026-01-27 17:55:00,2026-01-27 18:00:00,2026-01-27 19:55:00,123.96,123.98,125.79,123.51539459228516,-0.0035866844765637396,0.4,-1,-0.014599128891756852,-0.01599912889175685
sol_5m,8,2026-01-27 19:55:00,2026-01-27 20:00:00,2026-01-27 21:55:00,125.79,125.79,127.0,125.75018310546875,-0.00031653465721641626,0.4,-1,-0.009619206614198239,-0.01101920661419824
sol_5m,9,2026-01-27 21:55:00,2026-01-27 22:00:00,2026-01-27 23:55:00,127.0,127.02,127.11,126.74049224853516,-0.002043368121770417,0.6,1,0.0007085498346717234,-0.0006914501653282766
sol_5m,10,2026-01-27 23:55:00,2026-01-28 00:00:00,2026-01-28 01:55:00,127.11,127.12,127.01,127.41121520996094,0.0023697207927065866,0.4,-1,0.0008653241032096082,-0.0005346758967903918
sol_5m,11,2026-01-28 01:55:00,2026-01-28 02:00:00,2026-01-28 03:55:00,127.01,127.0,126.89,126.61229858398437,-0.0031312606567642787,0.2,-1,0.0008661417322834986,-0.0005338582677165014
sol_5m,12,2026-01-28 03:55:00,2026-01-28 04:00:00,2026-01-28 05:55:00,126.89,126.9,126.7,127.22578125,0.002646238868311124,0.6,1,-0.0015760441292356209,-0.002976044129235621
sol_5m,13,2026-01-28 05:55:00,2026-01-28 06:00:00,2026-01-28 07:55:00,126.7,126.73,127.03,127.3149429321289,0.0048535353759187275,0.8,1,0.0023672374339145374,0.0009672374339145375
sol_5m,14,2026-01-28 07:55:00,2026-01-28 08:00:00,2026-01-28 09:55:00,127.03,127.04,127.54,127.04508361816406,0.00011874059800096593,0.6,1,0.003935768261964734,0.0025357682619647336
sol_5m,15,2026-01-28 09:55:00,2026-01-28 10:00:00,2026-01-28 11:55:00,127.54,127.55,128.12,127.4817886352539,-0.000456416533997972,0.4,-1,-0.004468835750686129,-0.005868835750686129
sol_5m,16,2026-01-28 11:55:00,2026-01-28 12:00:00,2026-01-28 13:55:00,128.12,128.12,127.27,127.97496032714844,-0.0011320611368370813,0.2,-1,0.006634405245082853,0.005234405245082853
sol_5m,17,2026-01-28 13:55:00,2026-01-28 14:00:00,2026-01-28 15:55:00,127.27,127.27,126.01,127.46264343261718,0.0015136594061223585,0.8,1,-0.009900212147403109,-0.01130021214740311
sol_5m,18,2026-01-28 15:55:00,2026-01-28 16:00:00,2026-01-28 17:55:00,126.01,126.0,126.47,125.80075531005859,-0.0016605403534752261,0.6,1,0.0037301587301588057,0.0023301587301588055
sol_5m,19,2026-01-28 17:55:00,2026-01-28 18:00:00,2026-01-28 19:55:00,126.47,126.47,125.94,126.06458740234375,-0.0032056028912488934,0.4,-1,0.004190717166126401,0.0027907171661264007
sol_5m,20,2026-01-28 19:55:00,2026-01-28 20:00:00,2026-01-28 21:55:00,125.94,125.94,125.4,125.97769165039062,0.0002992825979881264,0.6,1,-0.004287756074321081,-0.005687756074321081
sol_5m,21,2026-01-28 21:55:00,2026-01-28 22:00:00,2026-01-28 23:55:00,125.4,125.46,125.28,125.32893218994141,-0.0005667289478357151,0.4,-1,0.001434720229555153,3.472022955515312e-05
sol_5m,22,2026-01-28 23:55:00,2026-01-29 00:00:00,2026-01-29 01:55:00,125.28,125.29,124.25,125.25397186279297,-0.00020775971589266363,0.4,-1,0.00830074227791533,0.006900742277915329
sol_5m,23,2026-01-29 01:55:00,2026-01-29 02:00:00,2026-01-29 03:55:00,124.25,124.25,122.99,124.46416473388672,0.0017236598300742311,0.8,1,-0.010140845070422566,-0.011540845070422566
sol_5m,24,2026-01-29 03:55:00,2026-01-29 04:00:00,2026-01-29 05:55:00,122.99,123.0,123.16,122.02417755126953,-0.007852853473700816,0.0,-1,-0.0013008130081300084,-0.0027008130081300086
sol_5m,25,2026-01-29 05:55:00,2026-01-29 06:00:00,2026-01-29 07:55:00,123.16,123.17,123.71,123.62059173583984,0.003739783499836369,1.0,1,0.0043841844605017055,0.0029841844605017053
sol_5m,26,2026-01-29 07:55:00,2026-01-29 08:00:00,2026-01-29 09:55:00,123.71,123.72,122.96,123.65045013427735,-0.0004813666293965735,0.4,-1,0.006142903330100258,0.004742903330100258
sol_5m,27,2026-01-29 09:55:00,2026-01-29 10:00:00,2026-01-29 11:55:00,122.96,122.95,122.69,123.23956604003907,0.0022736340276436674,0.8,1,-0.002114680764538468,-0.003514680764538468
sol_5m,28,2026-01-29 11:55:00,2026-01-29 12:00:00,2026-01-29 13:55:00,122.69,122.7,122.84,122.63868865966796,-0.0004182194174914944,0.4,-1,-0.0011409942950284524,-0.0025409942950284526
sol_5m,29,2026-01-29 13:55:00,2026-01-29 14:00:00,2026-01-29 15:55:00,122.84,122.84,117.58,122.6034927368164,-0.0019253277693226378,0.2,-1,0.042819928362097026,0.04141992836209703
sol_5m,30,2026-01-29 15:55:00,2026-01-29 16:00:00,2026-01-29 17:55:00,117.58,117.6,117.82,117.42176361083985,-0.0013457764004095375,0.6,1,0.0018707482993196578,0.0004707482993196578
sol_5m,31,2026-01-29 17:55:00,2026-01-29 18:00:00,2026-01-29 19:55:00,117.82,117.84,116.74,117.90670471191406,0.0007359082661184457,0.8,1,-0.009334691106585247,-0.010734691106585247
sol_5m,32,2026-01-29 19:55:00,2026-01-29 20:00:00,2026-01-29 21:55:00,116.74,116.73,117.36,116.60188446044921,-0.0011831038166076446,0.4,-1,-0.005397070161912154,-0.006797070161912154
sol_5m,33,2026-01-29 21:55:00,2026-01-29 22:00:00,2026-01-29 23:55:00,117.36,117.37,117.74,116.8900360107422,-0.004004464802810271,0.2,-1,-0.003152423958421968,-0.004552423958421968
sol_5m,34,2026-01-29 23:55:00,2026-01-30 00:00:00,2026-01-30 01:55:00,117.74,117.73,115.15,116.68809814453125,-0.008934107826301552,0.0,-1,0.021914550242079334,0.020514550242079335
sol_5m,35,2026-01-30 01:55:00,2026-01-30 02:00:00,2026-01-30 03:55:00,115.15,115.16,114.35,115.3314453125,0.0015757300260528905,0.6,1,-0.007033692254254986,-0.008433692254254986
sol_5m,36,2026-01-30 03:55:00,2026-01-30 04:00:00,2026-01-30 05:55:00,114.35,114.35,115.39,114.1202377319336,-0.002009289620169663,0.2,-1,-0.009094884127678338,-0.010494884127678338
sol_5m,37,2026-01-30 05:55:00,2026-01-30 06:00:00,2026-01-30 07:55:00,115.39,115.39,115.71,114.25335388183593,-0.00985047333533291,0.2,-1,-0.002773203917150413,-0.004173203917150413
sol_5m,38,2026-01-30 07:55:00,2026-01-30 08:00:00,2026-01-30 09:55:00,115.71,115.72,115.3,114.54999542236328,-0.01002510221793027,0.2,-1,0.00362945039751128,0.00222945039751128
sol_5m,39,2026-01-30 09:55:00,2026-01-30 10:00:00,2026-01-30 11:55:00,115.3,115.3,117.01,113.84886474609375,-0.012585735072907611,0.2,-1,-0.01483087597571564,-0.01623087597571564
sol_5m,40,2026-01-30 11:55:00,2026-01-30 12:00:00,2026-01-30 13:55:00,117.01,117.02,115.74,116.34692077636718,-0.005666859444772387,0.2,-1,0.010938301145103413,0.009538301145103413
sol_5m,41,2026-01-30 13:55:00,2026-01-30 14:00:00,2026-01-30 15:55:00,115.74,115.73,116.74,115.80621185302735,0.0005720740714303841,0.6,1,0.008727209885077247,0.007327209885077247
sol_5m,42,2026-01-30 15:55:00,2026-01-30 16:00:00,2026-01-30 17:55:00,116.74,116.74,116.59,116.43536834716797,-0.0026094882031182597,0.4,-1,0.0012849066301181544,-0.00011509336988184556
sol_5m,43,2026-01-30 17:55:00,2026-01-30 18:00:00,2026-01-30 19:55:00,116.59,116.59,118.24,116.39812469482422,-0.0016457269506457094,0.4,-1,-0.01415215713182949,-0.01555215713182949
sol_5m,44,2026-01-30 19:55:00,2026-01-30 20:00:00,2026-01-30 21:55:00,118.24,118.24,117.31,118.69093475341796,0.0038137242339138623,0.6,1,-0.007865358592692773,-0.009265358592692773
sol_5m,45,2026-01-30 21:55:00,2026-01-30 22:00:00,2026-01-30 23:55:00,117.31,117.32,117.53,117.34675445556641,0.0003133105069167419,0.4,-1,-0.0017899761336517273,-0.0031899761336517275
sol_5m,46,2026-01-30 23:55:00,2026-01-31 00:00:00,2026-01-31 01:55:00,117.53,117.54,118.09,118.04730987548828,0.0044015134475306585,0.8,1,0.004679258124893559,0.003279258124893559
sol_5m,47,2026-01-31 01:55:00,2026-01-31 02:00:00,2026-01-31 03:55:00,118.09,118.08,118.3,117.86011047363282,-0.0019467315299109833,0.4,-1,-0.0018631436314362482,-0.0032631436314362484
sol_5m,48,2026-01-31 03:55:00,2026-01-31 04:00:00,2026-01-31 05:55:00,118.3,118.24,118.54,118.73633117675782,0.0036883446894151904,1.0,1,0.0025372124492557546,0.0011372124492557546
sol_5m,49,2026-01-31 05:55:00,2026-01-31 06:00:00,2026-01-31 07:55:00,118.54,118.54,117.3,118.457275390625,-0.0006978624040409054,0.4,-1,0.01046060401552229,0.00906060401552229
sol_5m,50,2026-01-31 07:55:00,2026-01-31 08:00:00,2026-01-31 09:55:00,117.3,117.3,116.28,117.42845001220704,0.001095055517536503,0.6,1,-0.008695652173912993,-0.010095652173912993
sol_5m,51,2026-01-31 09:55:00,2026-01-31 10:00:00,2026-01-31 11:55:00,116.28,116.28,115.97,115.90026397705078,-0.0032657036717339107,0.2,-1,0.0026659786721706658,0.0012659786721706658
sol_5m,52,2026-01-31 11:55:00,2026-01-31 12:00:00,2026-01-31 13:55:00,115.97,115.97,114.09,116.09564514160157,0.0010834279693158865,0.6,1,-0.016211089074760654,-0.017611089074760652
sol_5m,53,2026-01-31 13:55:00,2026-01-31 14:00:00,2026-01-31 15:55:00,114.09,114.09,108.58,114.30804443359375,0.0019111616582850432,0.6,1,-0.04829520553948641,-0.049695205539486406
sol_5m,54,2026-01-31 15:55:00,2026-01-31 16:00:00,2026-01-31 17:55:00,108.58,108.58,103.26,108.78184967041015,0.0018589949383879256,0.4,-1,0.048996131884324834,0.047596131884324835
sol_5m,55,2026-01-31 17:55:00,2026-01-31 18:00:00,2026-01-31 19:55:00,103.26,103.27,101.63,102.40598907470704,-0.008270491238552901,0.0,-1,0.015880701074852288,0.014480701074852288
sol_5m,56,2026-01-31 19:55:00,2026-01-31 20:00:00,2026-01-31 21:55:00,101.63,101.66,103.32,104.06115417480468,0.023921619352599555,1.0,1,0.01632893960259696,0.014928939602596959
sol_5m,57,2026-01-31 21:55:00,2026-01-31 22:00:00,2026-01-31 23:55:00,103.32,103.33,105.42,102.38884887695312,-0.009012302778231396,0.2,-1,-0.020226458918029655,-0.021626458918029653
sol_5m,58,2026-01-31 23:55:00,2026-02-01 00:00:00,2026-02-01 01:55:00,105.42,105.41,104.87,103.41154174804687,-0.019051965964267947,0.0,-1,0.005122853619201173,0.003722853619201173
