signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2023-01-15 23:00:00,2023-01-16,2023-01-16 23:00:00,20882.7,20882.7,21188.3,20603.831640625,-0.013354037522686268,0.0,-1,-0.014634122982181363,-0.016034122982181362
2,2023-01-16 23:00:00,2023-01-17,2023-01-17 23:00:00,21188.3,21188.2,21130.9,20530.019921875,-0.03106809315164496,0.0,-1,0.0027043354319856716,0.0013043354319856716
3,2023-01-17 23:00:00,2023-01-18,2023-01-18 23:00:00,21130.9,21130.8,20680.0,20715.67734375,-0.019650022301463798,0.0,-1,0.02133378764646865,0.01993378764646865
4,2023-01-18 23:00:00,2023-01-19,2023-01-19 23:00:00,20680.0,20680.1,21068.3,20753.3,0.0035444874274661586,0.6,1,0.018771669382643186,0.017371669382643187
5,2023-01-19 23:00:00,2023-01-20,2023-01-20 23:00:00,21068.3,21068.3,22661.1,21171.05625,0.0048772919504659114,0.6,1,0.07560173340990972,0.07420173340990972
6,2023-01-20 23:00:00,2023-01-21,2023-01-21 23:00:00,22661.1,22661.0,22781.9,22339.90703125,-0.014173758941534099,0.2,-1,-0.005335157318741457,-0.006735157318741457
7,2023-01-21 23:00:00,2023-01-22,2023-01-22 23:00:00,22781.9,22781.8,22704.6,22499.135546875,-0.012411802927982362,0.2,-1,0.0033886699031683287,0.0019886699031683285
8,2023-01-22 23:00:00,2023-01-23,2023-01-23 23:00:00,22704.6,22704.7,22913.1,22740.291015625,0.0015719728876528061,0.8,1,0.009178716301030176,0.007778716301030176
9,2023-01-23 23:00:00,2023-01-24,2023-01-24 23:00:00,22913.1,22913.3,22627.4,22867.625,-0.001984672523578168,0.6,1,-0.012477469417325193,-0.013877469417325193
10,2023-01-24 23:00:00,2023-01-25,2023-01-25 23:00:00,22627.4,22627.5,23060.6,22926.446484375,0.013216122240071715,0.8,1,0.019140426472213035,0.017740426472213036
11,2023-01-25 23:00:00,2023-01-26,2023-01-26 23:00:00,23060.6,23060.6,23001.9,22888.660546875,-0.007455983501079721,0.4,-1,0.0025454671604380197,0.0011454671604380197
12,2023-01-26 23:00:00,2023-01-27,2023-01-27 23:00:00,23001.9,23001.9,23068.0,23191.23203125,0.008231147481294965,1.0,1,0.0028736756528808804,0.0014736756528808805
13,2023-01-27 23:00:00,2023-01-28,2023-01-28 23:00:00,23068.0,23068.1,23015.9,23187.506640625,0.005180624268467127,0.8,1,-0.002262865168782713,-0.003662865168782713
14,2023-01-28 23:00:00,2023-01-29,2023-01-29 23:00:00,23015.9,23016.0,23740.3,23151.41796875,0.005888015187326933,0.8,1,0.031469412582551204,0.030069412582551205
15,2023-01-29 23:00:00,2023-01-30,2023-01-30 23:00:00,23740.3,23740.2,22819.9,23426.069921875,-0.01323614605228236,0.0,-1,0.03876546954111593,0.03736546954111593
16,2023-01-30 23:00:00,2023-01-31,2023-01-31 23:00:00,22819.9,22819.9,23119.4,23122.774609375,0.013272389860384948,0.8,1,0.013124509748070778,0.011724509748070778
17,2023-01-31 23:00:00,2023-02-01,2023-02-01 23:00:00,23119.4,23119.5,23730.0,23224.04921875,0.004526467760841468,0.8,1,0.026406280412638594,0.025006280412638596
18,2023-02-01 23:00:00,2023-02-02,2023-02-02 23:00:00,23730.0,23730.1,23493.1,23706.286328125,-0.0009993119205646606,0.4,-1,0.009987315687670972,0.008587315687670972
19,2023-02-02 23:00:00,2023-02-03,2023-02-03 23:00:00,23493.1,23493.0,23424.7,23616.48828125,0.005252107267665873,0.6,1,-0.002907248967777609,-0.004307248967777609
20,2023-02-03 23:00:00,2023-02-04,2023-02-04 23:00:00,23424.7,23424.7,23322.6,23642.94453125,0.009316854911695715,1.0,1,-0.004358647069119481,-0.005758647069119481
21,2023-02-04 23:00:00,2023-02-05,2023-02-05 23:00:00,23322.6,23322.6,22929.2,23303.07578125,-0.0008371373153078343,0.6,1,-0.01686775916921779,-0.018267759169217787
22,2023-02-05 23:00:00,2023-02-06,2023-02-06 23:00:00,22929.2,22929.3,22757.7,22940.9140625,0.000510879686164345,0.4,-1,0.007483874344179631,0.0060838743441796305
23,2023-02-06 23:00:00,2023-02-07,2023-02-07 23:00:00,22757.7,22757.8,23234.1,22862.91171875,0.004623126183665316,0.8,1,0.020929088048932565,0.019529088048932566
24,2023-02-07 23:00:00,2023-02-08,2023-02-08 23:00:00,23234.1,23234.1,22955.9,23249.655078125,0.0006694934654237316,0.4,-1,0.011973779918309613,0.010573779918309613
25,2023-02-08 23:00:00,2023-02-09,2023-02-09 23:00:00,22955.9,22955.9,21793.4,22853.485546875,-0.0044613564758951615,0.0,-1,0.05064057606105621,0.04924057606105621
26,2023-02-09 23:00:00,2023-02-10,2023-02-10 23:00:00,21793.4,21793.3,21618.6,21669.82265625,-0.005670402220397075,0.0,-1,0.008016225170121127,0.006616225170121127
27,2023-02-10 23:00:00,2023-02-11,2023-02-11 23:00:00,21618.6,21618.6,21851.3,22133.563671875,0.023820398724940618,1.0,1,0.01076387925212563,0.00936387925212563
28,2023-02-11 23:00:00,2023-02-12,2023-02-12 23:00:00,21851.3,21851.2,21771.1,21930.00703125,0.003601938156997564,0.6,1,-0.003665702570110674,-0.005065702570110674
29,2023-02-12 23:00:00,2023-02-13,2023-02-13 23:00:00,21771.1,21771.0,21766.2,21841.412109375,0.0032296075703571294,0.8,1,-0.00022047678103898072,-0.0016204767810389807
30,2023-02-13 23:00:00,2023-02-14,2023-02-14 23:00:00,21766.2,21766.1,22187.4,21834.434375,0.0031348777002875527,0.4,-1,-0.019355787210386888,-0.020755787210386886
31,2023-02-14 23:00:00,2023-02-15,2023-02-15 23:00:00,22187.4,22187.4,24332.6,22174.5140625,-0.0005807772654750521,0.4,-1,-0.09668550618819682,-0.09808550618819682
32,2023-02-15 23:00:00,2023-02-16,2023-02-16 23:00:00,24332.6,24332.7,23526.6,23780.95,-0.022671231187789177,0.0,-1,0.03312825950264464,0.03172825950264464
33,2023-02-16 23:00:00,2023-02-17,2023-02-17 23:00:00,23526.6,23526.6,24581.5,23541.765625,0.0006446160941233181,0.6,1,0.044838608213681574,0.043438608213681576
34,2023-02-17 23:00:00,2023-02-18,2023-02-18 23:00:00,24581.5,24581.3,24636.9,24645.725390625,0.0026127531120964777,0.2,-1,-0.002261881999731541,-0.003661881999731541
35,2023-02-18 23:00:00,2023-02-19,2023-02-19 23:00:00,24636.9,24636.8,24265.9,24530.976171875,-0.0042993975753849775,0.4,-1,0.015054714898038668,0.013654714898038668
36,2023-02-19 23:00:00,2023-02-20,2023-02-20 23:00:00,24265.9,24265.9,24849.9,24408.558984375,0.005878990038490173,0.8,1,0.02406669441479603,0.022666694414796032
37,2023-02-20 23:00:00,2023-02-21,2023-02-21 23:00:00,24849.9,24849.9,24443.4,24708.89296875,-0.0056743500476863495,0.0,-1,0.016358214721186037,0.014958214721186037
38,2023-02-21 23:00:00,2023-02-22,2023-02-22 23:00:00,24443.4,24443.3,24171.3,24551.246875,0.004412106130898241,0.8,1,-0.011127793710341893,-0.012527793710341894
39,2023-02-22 23:00:00,2023-02-23,2023-02-23 23:00:00,24171.3,24171.3,23928.8,24279.0625,0.004458283170537003,0.6,1,-0.010032559274842479,-0.011432559274842479
40,2023-02-23 23:00:00,2023-02-24,2023-02-24 23:00:00,23928.8,23928.7,23175.6,23742.38359375,-0.007790461964243933,0.2,-1,0.03147266671402971,0.030072666714029708
41,2023-02-24 23:00:00,2023-02-25,2023-02-25 23:00:00,23175.6,23175.5,23146.2,23250.39765625,0.0032274312747027968,0.8,1,-0.0012642661431252478,-0.002664266143125248
42,2023-02-25 23:00:00,2023-02-26,2023-02-26 23:00:00,23146.2,23146.2,23545.3,23216.80546875,0.003050412972755745,0.6,1,0.017242571134786555,0.015842571134786557
43,2023-02-26 23:00:00,2023-02-27,2023-02-27 23:00:00,23545.3,23545.2,23480.0,23596.35859375,0.0021685259372359322,0.4,-1,0.0027691419057812583,0.0013691419057812583
44,2023-02-27 23:00:00,2023-02-28,2023-02-28 23:00:00,23480.0,23480.0,23129.6,23300.532421875,-0.007643423259156701,0.2,-1,0.014923339011925107,0.013523339011925107
45,2023-02-28 23:00:00,2023-03-01,2023-03-01 23:00:00,23129.6,23129.7,23619.8,23342.199609375,0.009191668224915284,0.8,1,0.021189206950371187,0.019789206950371188
46,2023-03-01 23:00:00,2023-03-02,2023-03-02 23:00:00,23619.8,23619.8,23457.1,23707.465234375,0.0037115146773046837,0.4,-1,0.006888288639192552,0.005488288639192552
47,2023-03-02 23:00:00,2023-03-03,2023-03-03 23:00:00,23457.1,23457.1,22342.8,23605.21328125,0.00631421962859866,0.6,1,-0.04750374087163367,-0.04890374087163367
48,2023-03-03 23:00:00,2023-03-04,2023-03-04 23:00:00,22342.8,22342.8,22335.7,22526.71015625,0.008231294029844127,1.0,1,-0.000317775748786997,-0.001717775748786997
49,2023-03-04 23:00:00,2023-03-05,2023-03-05 23:00:00,22335.7,22335.8,22419.4,22374.5390625,0.0017388782308143114,0.8,1,0.003742870190456715,0.002342870190456715
50,2023-03-05 23:00:00,2023-03-06,2023-03-06 23:00:00,22419.4,22419.3,22397.1,22353.139453125,-0.002955500453848092,0.4,-1,0.0009902182494547773,-0.00040978175054522266
51,2023-03-06 23:00:00,2023-03-07,2023-03-07 23:00:00,22397.1,22397.1,22187.1,22321.33359375,-0.003382866810881691,0.4,-1,0.00937621388483334,0.00797621388483334
52,2023-03-07 23:00:00,2023-03-08,2023-03-08 23:00:00,22187.1,22187.1,21695.4,22097.61875,-0.004033030454633479,0.2,-1,0.022161526292304834,0.020761526292304835
53,2023-03-08 23:00:00,2023-03-09,2023-03-09 23:00:00,21695.4,21695.3,20348.3,21755.174609375,0.00275517433995216,0.8,1,-0.062087180172664125,-0.06348718017266412
54,2023-03-09 23:00:00,2023-03-10,2023-03-10 23:00:00,20348.3,20348.4,20140.3,20283.037890625,-0.0032072511892885292,0.2,-1,0.010226848302569369,0.008826848302569369
55,2023-03-10 23:00:00,2023-03-11,2023-03-11 23:00:00,20140.3,20140.3,20447.3,20480.712109375,0.016902037674463653,0.8,1,0.015243069864897762,0.013843069864897762
56,2023-03-11 23:00:00,2023-03-12,2023-03-12 23:00:00,20447.3,20447.3,21986.2,20305.15703125,-0.006951674243054051,0.2,-1,-0.07526177050270699,-0.07666177050270699
57,2023-03-12 23:00:00,2023-03-13,2023-03-13 23:00:00,21986.2,21986.2,24119.5,21170.214453125,-0.03711353243739255,0.0,-1,-0.09702904549217228,-0.09842904549217228
58,2023-03-13 23:00:00,2023-03-14,2023-03-14 23:00:00,24119.5,24119.5,24682.5,24203.45234375,0.0034806834200543204,0.6,1,0.023342109081863294,0.021942109081863295
59,2023-03-14 23:00:00,2023-03-15,2023-03-15 23:00:00,24682.5,24682.5,24288.0,24104.528515625,-0.023416245695330695,0.2,-1,0.01598298389547248,0.01458298389547248
60,2023-03-15 23:00:00,2023-03-16,2023-03-16 23:00:00,24288.0,24287.9,24990.4,24229.31328125,-0.0024162845335145454,0.6,1,0.02892386744016573,0.02752386744016573
61,2023-03-16 23:00:00,2023-03-17,2023-03-17 23:00:00,24990.4,24990.5,27384.0,24697.51640625,-0.011719844170161387,0.0,-1,-0.09577639503011137,-0.09717639503011137
62,2023-03-17 23:00:00,2023-03-18,2023-03-18 23:00:00,27384.0,27383.9,26907.0,26960.2046875,-0.015476019299590993,0.0,-1,0.017415342591814986,0.016015342591814988
63,2023-03-18 23:00:00,2023-03-19,2023-03-19 23:00:00,26907.0,26907.0,27955.7,27026.055859375,0.004424716964916175,0.6,1,0.038974987921358784,0.037574987921358785
64,2023-03-19 23:00:00,2023-03-20,2023-03-20 23:00:00,27955.7,27955.8,27704.1,27922.44296875,-0.0011896332858773561,0.6,1,-0.009003498379584918,-0.010403498379584918
65,2023-03-20 23:00:00,2023-03-21,2023-03-21 23:00:00,27704.1,27704.1,28091.1,27930.403515625,0.008168592938409925,0.4,-1,-0.013969051512231045,-0.015369051512231046
66,2023-03-21 23:00:00,2023-03-22,2023-03-22 23:00:00,28091.1,28091.1,27233.8,27926.204296875,-0.005870033680596287,0.4,-1,0.0305185628188287,0.0291185628188287
67,2023-03-22 23:00:00,2023-03-23,2023-03-23 23:00:00,27233.8,27233.8,28284.1,27679.103515625,0.01635113409164355,0.8,1,0.03856604660385243,0.037166046603852435
68,2023-03-23 23:00:00,2023-03-24,2023-03-24 23:00:00,28284.1,28284.0,27438.9,28675.884375,0.013851753281879264,0.8,1,-0.02987908358082303,-0.03127908358082303
69,2023-03-24 23:00:00,2023-03-25,2023-03-25 23:00:00,27438.9,27439.0,27447.3,28344.403125,0.03300070793654255,1.0,1,0.00030248915776809326,-0.0010975108422319067
70,2023-03-25 23:00:00,2023-03-26,2023-03-26 23:00:00,27447.3,27447.2,27954.3,27984.762890625,0.0195816306385328,1.0,1,0.018475472907983237,0.01707547290798324
71,2023-03-26 23:00:00,2023-03-27,2023-03-27 23:00:00,27954.3,27954.3,27112.0,28529.109375,0.020562467133857787,1.0,1,-0.030131321478269912,-0.03153132147826991
72,2023-03-27 23:00:00,2023-03-28,2023-03-28 23:00:00,27112.0,27112.0,27249.7,27068.77578125,-0.001594283665904439,0.6,1,0.005078931838300438,0.0036789318383004376
73,2023-03-28 23:00:00,2023-03-29,2023-03-29 23:00:00,27249.7,27249.7,28338.5,27386.83828125,0.005032652882417032,0.8,1,0.039956403189759904,0.038556403189759905
74,2023-03-29 23:00:00,2023-03-30,2023-03-30 23:00:00,28338.5,28338.6,28015.0,28624.98359375,0.010109342193482317,0.8,1,-0.011419053869986429,-0.012819053869986429
75,2023-03-30 23:00:00,2023-03-31,2023-03-31 23:00:00,28015.0,28015.0,28454.9,28393.888671875,0.013524493017133632,0.8,1,0.01570230233803316,0.014302302338033158
76,2023-03-31 23:00:00,2023-04-01,2023-04-01 23:00:00,28454.9,28454.8,28443.8,28486.660546875,0.0011161714458669536,0.2,-1,0.0003865780114427064,-0.0010134219885572936
77,2023-04-01 23:00:00,2023-04-02,2023-04-02 23:00:00,28443.8,28443.7,28161.2,28330.8359375,-0.003971482801172832,0.4,-1,0.009931900561459983,0.008531900561459983
78,2023-04-02 23:00:00,2023-04-03,2023-04-03 23:00:00,28161.2,28161.3,27786.1,28524.90234375,0.012915015828515796,1.0,1,-0.013323248571621371,-0.014723248571621371
79,2023-04-03 23:00:00,2023-04-04,2023-04-04 23:00:00,27786.1,27786.1,28155.2,27686.615625,-0.003580364822699056,0.2,-1,-0.013283620227380055,-0.014683620227380055
80,2023-04-04 23:00:00,2023-04-05,2023-04-05 23:00:00,28155.2,28155.1,28154.0,27895.489453125,-0.009224247985274502,0.2,-1,3.906929827979244e-05,-0.0013609307017202075
81,2023-04-05 23:00:00,2023-04-06,2023-04-06 23:00:00,28154.0,28154.0,28022.8,28177.119140625,0.0008211671742913929,0.4,-1,0.004660083824678529,0.003260083824678529
82,2023-04-06 23:00:00,2023-04-07,2023-04-07 23:00:00,28022.8,28022.9,27890.7,28052.643359375,0.0010649670759167896,0.6,1,-0.0047175702728839974,-0.006117570272883998
83,2023-04-07 23:00:00,2023-04-08,2023-04-08 23:00:00,27890.7,27890.7,27924.9,27921.975,0.0011213415224429423,0.4,-1,-0.0012262151900095386,-0.002626215190009539
84,2023-04-08 23:00:00,2023-04-09,2023-04-09 23:00:00,27924.9,27924.9,28309.4,27783.878515625,-0.0050500264772658674,0.2,-1,-0.013769073479224625,-0.015169073479224625
85,2023-04-09 23:00:00,2023-04-10,2023-04-10 23:00:00,28309.4,28309.4,29623.1,28207.845703125,-0.003587299514472275,0.6,1,0.046405080997830916,0.04500508099783092
86,2023-04-10 23:00:00,2023-04-11,2023-04-11 23:00:00,29623.1,29623.1,30185.1,29104.45,-0.01750829589070686,0.0,-1,-0.01897168088417489,-0.02037168088417489
