signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2018-02-13,2018-02-13 12:00:00,2018-02-25,8531.47,8525.08,9665.99,11539.64765625,0.35259781212968,1.0,1,0.13382982916289343,0.13242982916289342
2,2018-02-25,2018-02-25 12:00:00,2018-03-09,9665.99,9663.98,8923.0,9553.55654296875,-0.011631861509400477,0.6,1,-0.07667441364737915,-0.07807441364737915
3,2018-03-09,2018-03-09 12:00:00,2018-03-21,8923.0,8933.91,9063.0,9142.131640625,0.024558067984422303,0.6,1,0.014449440390601698,0.013049440390601698
4,2018-03-21,2018-03-21 12:00:00,2018-04-02,9063.0,9063.0,7046.01,9248.76943359375,0.02049756522053956,0.6,1,-0.22255213505461768,-0.2239521350546177
5,2018-04-02,2018-04-02 12:00:00,2018-04-14,7046.01,7046.0,7965.32,5969.6638671875,-0.1527596657984448,0.2,-1,-0.1304740278172012,-0.1318740278172012
6,2018-04-14,2018-04-14 12:00:00,2018-04-26,7965.32,7965.0,8857.01,6646.058203125,-0.16562571207120363,0.2,-1,-0.11199121155053371,-0.11339121155053371
7,2018-04-26,2018-04-26 12:00:00,2018-05-08,8857.01,8858.51,9198.0,8654.375390625,-0.02287844423513128,0.4,-1,-0.038323600695828075,-0.039723600695828074
8,2018-05-08,2018-05-08 12:00:00,2018-05-20,9198.0,9200.0,8340.88,8301.4826171875,-0.09746873046450315,0.2,-1,0.09338260869565229,0.0919826086956523
9,2018-05-20,2018-05-20 12:00:00,2018-06-01,8340.88,8340.88,7361.39,8475.49072265625,0.01613867153780546,0.2,-1,0.11743245317040873,0.11603245317040874
10,2018-06-01,2018-06-01 12:00:00,2018-06-13,7361.39,7361.49,6447.01,7348.50908203125,-0.0017497942601533145,0.6,1,-0.12422485121897875,-0.12562485121897876
11,2018-06-13,2018-06-13 12:00:00,2018-06-25,6447.01,6447.01,6232.82,6425.443359375,-0.0033452159411883286,0.6,1,-0.033223153058549726,-0.034623153058549724
12,2018-06-25,2018-06-25 12:00:00,2018-07-07,6232.82,6231.0,6584.79,6111.37275390625,-0.019485120073056784,0.4,-1,-0.05677900818488202,-0.05817900818488202
13,2018-07-07,2018-07-07 12:00:00,2018-07-19,6584.79,6584.79,7414.49,6489.786328125,-0.014427745133102233,0.4,-1,-0.12600249970006638,-0.1274024997000664
14,2018-07-19,2018-07-19 12:00:00,2018-07-31,7414.49,7419.65,7980.0,7522.98837890625,0.014633289532557204,0.8,1,0.07552243030331618,0.07412243030331618
15,2018-07-31,2018-07-31 12:00:00,2018-08-12,7980.0,7980.01,6349.21,8636.6923828125,0.08229227854793235,1.0,1,-0.2043606461646038,-0.20576064616460382
16,2018-08-12,2018-08-12 12:00:00,2018-08-24,6349.21,6349.21,6531.5,6313.05244140625,-0.005694812203998612,0.4,-1,-0.028710658491371444,-0.030110658491371442
17,2018-08-24,2018-08-24 12:00:00,2018-09-05,6531.5,6537.04,6991.9,6787.887890625,0.03925405965321906,0.8,1,0.06958195146427126,0.06818195146427126
18,2018-09-05,2018-09-05 12:00:00,2018-09-17,6991.9,6991.02,6475.94,7416.237890625,0.060689925574593497,1.0,1,-0.07367737468924429,-0.07507737468924429
19,2018-09-17,2018-09-17 12:00:00,2018-09-29,6475.94,6473.05,6584.96,6287.16318359375,-0.0291504887948699,0.2,-1,-0.017288604290095044,-0.018688604290095043
