signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2018-08-11,2018-08-12,2018-09-04,6232.35,6222.55,7359.06,5731.43623046875,-0.0803731769767825,0.2,-1,-0.18264377144418287,-0.18404377144418288
2,2018-09-04,2018-09-05,2018-09-28,7359.06,7359.05,6634.58,7689.00751953125,0.04483555230304544,0.6,1,-0.09844613095440313,-0.09984613095440313
3,2018-09-28,2018-09-29,2018-10-22,6634.58,6634.58,6581.2,7075.03662109375,0.06638801869805624,0.8,1,-0.008045724069948634,-0.009445724069948635
4,2018-10-22,2018-10-23,2018-11-15,6581.2,6581.2,5753.4,8181.0208984375,0.24308954270307853,1.0,1,-0.1257825320610223,-0.1271825320610223
5,2018-11-15,2018-11-16,2018-12-09,5753.4,5757.09,3545.37,8382.93310546875,0.4570398556451404,1.0,1,-0.38417325419613035,-0.38557325419613037
6,2018-12-09,2018-12-10,2019-01-02,3545.37,3548.49,3858.56,6442.53798828125,0.8171694317606486,1.0,1,0.08738082959230553,0.08598082959230553
7,2019-01-02,2019-01-03,2019-01-26,3858.56,3857.57,3565.25,6179.90810546875,0.6016099543531136,1.0,1,-0.0757782749243695,-0.0771782749243695
8,2019-01-26,2019-01-27,2019-02-19,3565.25,3565.62,3907.79,5813.91494140625,0.630717324565248,1.0,1,0.09596367532154293,0.09456367532154293
9,2019-02-19,2019-02-20,2019-03-15,3907.79,3907.35,3923.76,5437.29052734375,0.3913978303193749,1.0,1,0.004199777342700273,0.0027997773427002725
10,2019-03-15,2019-03-16,2019-04-08,3923.76,3924.46,5236.9,5203.694921875,0.3262011238900951,1.0,1,0.33442562798448683,0.3330256279844868
11,2019-04-08,2019-04-09,2019-05-02,5236.9,5238.38,5492.87,5402.0724609375,0.031540121243006446,0.4,-1,-0.04858181346141355,-0.049981813461413546
12,2019-05-02,2019-05-03,2019-05-26,5492.87,5494.81,8614.43,5927.6134765625,0.07914687159217315,0.8,1,0.5677393758837885,0.5663393758837886
13,2019-05-26,2019-05-27,2019-06-19,8614.43,8612.54,9255.49,5839.59384765625,-0.3221148877341566,0.0,-1,-0.07465277374618862,-0.07605277374618861
14,2019-06-19,2019-06-20,2019-07-13,9255.49,9253.76,11355.76,5769.71416015625,-0.37661710399381876,0.0,-1,-0.22715090946815142,-0.22855090946815143
15,2019-07-13,2019-07-14,2019-08-06,11355.76,11355.78,11481.69,6868.37041015625,-0.39516418010276283,0.0,-1,-0.011087745623814538,-0.012487745623814538
16,2019-08-06,2019-08-07,2019-08-30,11481.69,11481.69,9584.54,8248.6146484375,-0.281585319893021,0.0,-1,0.165232644323266,0.163832644323266
17,2019-08-30,2019-08-31,2019-09-23,9584.54,9582.76,9702.25,9310.83701171875,-0.02855671615760915,0.4,-1,-0.012469267726625599,-0.0138692677266256
