signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2025-10-23 14:40:00,2025-10-23 14:45:00,2025-10-23 16:40:00,109551.64,109551.64,109838.2,109457.75,-0.0008570387444678973,0.6,1,0.0026157527171659645,0.0012157527171659645
2,2025-10-23 16:40:00,2025-10-23 16:45:00,2025-10-23 18:40:00,109838.2,109838.21,110533.74,109576.2234375,-0.0023851133986172446,0.2,-1,-0.006332313682096524,-0.0077323136820965244
3,2025-10-23 18:40:00,2025-10-23 18:45:00,2025-10-23 20:40:00,110533.74,110533.75,109888.02,110643.9546875,0.0009971135284121634,0.6,1,-0.005841926108541506,-0.007241926108541507
4,2025-10-23 20:40:00,2025-10-23 20:45:00,2025-10-23 22:40:00,109888.02,109888.03,110005.61,109955.8109375,0.0006169092636303164,0.6,1,0.0010699982518569406,-0.00033000174814305934
5,2025-10-23 22:40:00,2025-10-23 22:45:00,2025-10-24 00:40:00,110005.61,110005.62,110383.65,110168.3953125,0.0014797910079313193,0.6,1,0.0034364607917305445,0.0020364607917305443
6,2025-10-24 00:40:00,2025-10-24 00:45:00,2025-10-24 02:40:00,110383.65,110383.65,110686.05,110726.25625,0.003103777144531805,0.8,1,0.0027395361541315832,0.0013395361541315833
7,2025-10-24 02:40:00,2025-10-24 02:45:00,2025-10-24 04:40:00,110686.05,110686.04,111133.57,110624.4875,-0.0005561902335479818,0.4,-1,-0.004043237972918945,-0.005443237972918945
8,2025-10-24 04:40:00,2025-10-24 04:45:00,2025-10-24 06:40:00,111133.57,111133.56,111430.33,110931.5359375,-0.0018179391024693015,0.6,1,0.002670390474308615,0.0012703904743086149
9,2025-10-24 06:40:00,2025-10-24 06:45:00,2025-10-24 08:40:00,111430.33,111430.33,111097.67,110866.409375,-0.005060746252838011,0.0,-1,0.002985363141256081,0.001585363141256081
10,2025-10-24 08:40:00,2025-10-24 08:45:00,2025-10-24 10:40:00,111097.67,111097.67,111180.0,111237.95,0.0012626727455220088,0.6,1,0.0007410596459853647,-0.0006589403540146353
11,2025-10-24 10:40:00,2025-10-24 10:45:00,2025-10-24 12:40:00,111180.0,111179.99,111566.96,110746.35,-0.003900431732325993,0.2,-1,-0.003480572358389278,-0.004880572358389278
