signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2021-08-05,2021-08-06,2021-08-29,37.353,37.354,94.23,33.48233184814453,-0.1036240235551487,0.2,-1,-1.522621406007389,-1.5240214060073891
2,2021-08-29,2021-08-30,2021-09-22,94.23,94.23,148.02,29.769034767150877,-0.6840811337456131,0.0,-1,-0.5708373129576569,-0.5722373129576569
3,2021-09-22,2021-09-23,2021-10-16,148.02,148.02,157.54,67.013836479187,-0.5472649879800905,0.2,-1,-0.06431563302256449,-0.06571563302256449
4,2021-10-16,2021-10-17,2021-11-09,157.54,157.54,239.04,79.29502716064454,-0.49666734060781687,0.0,-1,-0.5173289323346453,-0.5187289323346452
5,2021-11-09,2021-11-10,2021-12-03,239.04,239.06,211.65,92.21513748168945,-0.6142271691696392,0.2,-1,0.11465740818204628,0.11325740818204628
6,2021-12-03,2021-12-04,2021-12-27,211.65,211.65,195.67,123.19841766357422,-0.41791439799870445,0.0,-1,0.07550200803212859,0.07410200803212859
7,2021-12-27,2021-12-28,2022-01-20,195.67,195.68,127.54,84.6127944946289,-0.5675740047292436,0.0,-1,0.34822158626328703,0.346821586263287
8,2022-01-20,2022-01-21,2022-02-13,127.54,127.54,92.85,40.94152603149414,-0.6789907007096273,0.0,-1,0.2719931002038577,0.2705931002038577
9,2022-02-13,2022-02-14,2022-03-09,92.85,92.85,88.06,66.65557708740235,-0.282115486403852,0.0,-1,0.051588583737210425,0.05018858373721043
10,2022-03-09,2022-03-10,2022-04-02,88.06,88.06,132.49,63.53468627929688,-0.27850685578813456,0.0,-1,-0.5045423574835339,-0.5059423574835339
11,2022-04-02,2022-04-03,2022-04-26,132.49,132.48,95.7,58.63655166625976,-0.5574265856573344,0.0,-1,0.27762681159420277,0.27622681159420276
12,2022-04-26,2022-04-27,2022-05-20,95.7,95.7,49.43,72.36760025024414,-0.2438077298825064,0.0,-1,0.4834900731452456,0.4820900731452456
13,2022-05-20,2022-05-21,2022-06-13,49.43,49.42,28.6,80.71419372558594,0.6328989222250847,1.0,1,-0.4212869283690813,-0.42268692836908134
14,2022-06-13,2022-06-14,2022-07-07,28.6,28.59,38.46,76.92024078369141,1.6895189085206783,1.0,1,0.3452256033578174,0.34382560335781737
