signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2024-01-16 08:00:00,2024-01-16 09:00:00,2024-01-17 08:00:00,97.71,97.7,97.93,92.91956634521485,-0.04902705613330416,0.0,-1,-0.00235414534288636,-0.0037541453428863603
2,2024-01-17 08:00:00,2024-01-17 09:00:00,2024-01-18 08:00:00,97.93,97.94,100.69,95.41154327392579,-0.025716907240623164,0.2,-1,-0.028078415356340702,-0.0294784153563407
3,2024-01-18 08:00:00,2024-01-18 09:00:00,2024-01-19 08:00:00,100.69,100.7,94.6,99.41055908203126,-0.012706732723892621,0.4,-1,0.06057596822244293,0.059175968222442935
4,2024-01-19 08:00:00,2024-01-19 09:00:00,2024-01-20 08:00:00,94.6,94.6,91.83,93.64878387451172,-0.01005513874723336,0.2,-1,0.029281183932346688,0.02788118393234669
5,2024-01-20 08:00:00,2024-01-20 09:00:00,2024-01-21 08:00:00,91.83,91.83,92.53,90.83551330566407,-0.010829649290383724,0.4,-1,-0.007622781226178876,-0.009022781226178877
6,2024-01-21 08:00:00,2024-01-21 09:00:00,2024-01-22 08:00:00,92.53,92.53,88.12,93.57527618408203,0.011296619302734557,0.4,-1,0.04766021830757583,0.04626021830757583
7,2024-01-22 08:00:00,2024-01-22 09:00:00,2024-01-23 08:00:00,88.12,88.12,80.99,89.6233627319336,0.017060403222124255,0.8,1,-0.08091239219246493,-0.08231239219246493
8,2024-01-23 08:00:00,2024-01-23 09:00:00,2024-01-24 08:00:00,80.99,80.98,86.52,80.9311752319336,-0.0007263213738289087,0.2,-1,-0.06841195356878238,-0.06981195356878238
9,2024-01-24 08:00:00,2024-01-24 09:00:00,2024-01-25 08:00:00,86.52,86.52,87.67,85.88873138427735,-0.007296216085560014,0.6,1,0.013291724456772958,0.011891724456772957
10,2024-01-25 08:00:00,2024-01-25 09:00:00,2024-01-26 08:00:00,87.67,87.68,87.76,85.3478515625,-0.026487378093988868,0.2,-1,-0.0009124087591241281,-0.0023124087591241283
11,2024-01-26 08:00:00,2024-01-26 09:00:00,2024-01-27 08:00:00,87.76,87.76,90.9,84.83793029785156,-0.03329614519312265,0.0,-1,-0.03577939835916144,-0.03717939835916144
12,2024-01-27 08:00:00,2024-01-27 09:00:00,2024-01-28 08:00:00,90.9,90.9,96.5,89.9584716796875,-0.010357847308168378,0.4,-1,-0.06160616061606161,-0.06300616061606161
13,2024-01-28 08:00:00,2024-01-28 09:00:00,2024-01-29 08:00:00,96.5,96.5,97.03,96.83454895019531,0.0034668284994333167,0.8,1,0.005492227979274622,0.004092227979274622
14,2024-01-29 08:00:00,2024-01-29 09:00:00,2024-01-30 08:00:00,97.03,97.03,103.41,97.13670349121094,0.00109969587973755,0.4,-1,-0.06575285994022462,-0.06715285994022462
15,2024-01-30 08:00:00,2024-01-30 09:00:00,2024-01-31 08:00:00,103.41,103.41,101.08,101.55113220214844,-0.017975706390596268,0.2,-1,0.02253167005125223,0.02113167005125223
16,2024-01-31 08:00:00,2024-01-31 09:00:00,2024-02-01 08:00:00,101.08,101.09,95.22,100.59630889892578,-0.0047852305211141255,0.4,-1,0.05806706894846181,0.05666706894846181
17,2024-02-01 08:00:00,2024-02-01 09:00:00,2024-02-02 08:00:00,95.22,95.22,100.45,96.417919921875,0.012580549484089487,0.8,1,0.05492543583280818,0.05352543583280818
18,2024-02-02 08:00:00,2024-02-02 09:00:00,2024-02-03 08:00:00,100.45,100.45,98.57,99.16006469726562,-0.012841565980431823,0.0,-1,0.0187157789945247,0.017315778994524703
19,2024-02-03 08:00:00,2024-02-03 09:00:00,2024-02-04 08:00:00,98.57,98.57,96.56,102.63146514892578,0.04120386678427299,1.0,1,-0.020391599878259004,-0.021791599878259002
20,2024-02-04 08:00:00,2024-02-04 09:00:00,2024-02-05 08:00:00,96.56,96.57,97.45,99.24137115478516,0.02776896390622574,0.8,1,0.009112560836698869,0.007712560836698868
21,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-06 08:00:00,97.45,97.45,96.21,99.19646453857422,0.017921647394296757,0.6,1,-0.012724474089276683,-0.014124474089276683
22,2024-02-06 08:00:00,2024-02-06 09:00:00,2024-02-07 08:00:00,96.21,96.22,95.28,100.92951965332031,0.04905435665024758,1.0,1,-0.009769278736229459,-0.011169278736229459
23,2024-02-07 08:00:00,2024-02-07 09:00:00,2024-02-08 08:00:00,95.28,95.28,102.01,99.86039428710937,0.04807298789997243,1.0,1,0.0706339210747271,0.0692339210747271
24,2024-02-08 08:00:00,2024-02-08 09:00:00,2024-02-09 08:00:00,102.01,102.0,106.21,102.6480484008789,0.006254763267119867,0.4,-1,-0.041274509803921555,-0.042674509803921554
25,2024-02-09 08:00:00,2024-02-09 09:00:00,2024-02-10 08:00:00,106.21,106.21,108.19,104.68980407714844,-0.014313114799468573,0.2,-1,-0.01864231239996239,-0.02004231239996239
26,2024-02-10 08:00:00,2024-02-10 09:00:00,2024-02-11 08:00:00,108.19,108.19,109.04,105.3226333618164,-0.02650306533120981,0.0,-1,-0.007856548664386898,-0.009256548664386898
27,2024-02-11 08:00:00,2024-02-11 09:00:00,2024-02-12 08:00:00,109.04,109.03,105.74,106.53126831054688,-0.02300744396050196,0.0,-1,0.03017518114280482,0.02877518114280482
28,2024-02-12 08:00:00,2024-02-12 09:00:00,2024-02-13 08:00:00,105.74,105.73,114.57,106.62666320800781,0.008385314999128224,0.8,1,0.08360919322803362,0.08220919322803362
29,2024-02-13 08:00:00,2024-02-13 09:00:00,2024-02-14 08:00:00,114.57,114.57,114.74,113.38367004394532,-0.01035462997341956,0.4,-1,-0.0014838090250501867,-0.002883809025050187
30,2024-02-14 08:00:00,2024-02-14 09:00:00,2024-02-15 08:00:00,114.74,114.75,115.57,113.97909240722656,-0.006631580902679413,0.2,-1,-0.007145969498910665,-0.008545969498910665
31,2024-02-15 08:00:00,2024-02-15 09:00:00,2024-02-16 08:00:00,115.57,115.57,111.14,114.34302825927735,-0.010616697592131597,0.2,-1,0.03833174699316422,0.03693174699316422
32,2024-02-16 08:00:00,2024-02-16 09:00:00,2024-02-17 08:00:00,111.14,111.13,109.31,113.5832733154297,0.02198374406541015,0.8,1,-0.01637721587330143,-0.01777721587330143
33,2024-02-17 08:00:00,2024-02-17 09:00:00,2024-02-18 08:00:00,109.31,109.31,109.31,111.45564422607421,0.0196289838630886,0.8,1,0.0,-0.0014
34,2024-02-18 08:00:00,2024-02-18 09:00:00,2024-02-19 08:00:00,109.31,109.32,111.69,111.36285858154297,0.018780153522486232,0.8,1,0.021679473106476443,0.020279473106476445
35,2024-02-19 08:00:00,2024-02-19 09:00:00,2024-02-20 08:00:00,111.69,111.69,109.29,113.3482894897461,0.014847251228812742,0.8,1,-0.021488047273703903,-0.0228880472737039
36,2024-02-20 08:00:00,2024-02-20 09:00:00,2024-02-21 08:00:00,109.29,109.28,105.17,109.0534912109375,-0.00216404784575448,0.2,-1,0.03760980966325034,0.03620980966325034
37,2024-02-21 08:00:00,2024-02-21 09:00:00,2024-02-22 08:00:00,105.17,105.18,105.71,105.62088775634766,0.0042872278819782615,0.8,1,0.005038980794827896,0.003638980794827896
38,2024-02-22 08:00:00,2024-02-22 09:00:00,2024-02-23 08:00:00,105.71,105.71,101.77,104.71496887207032,-0.009412838217100395,0.4,-1,0.03727178128843056,0.03587178128843056
39,2024-02-23 08:00:00,2024-02-23 09:00:00,2024-02-24 08:00:00,101.77,101.77,101.66,103.08116455078125,0.012883605687149946,0.8,1,-0.0010808686253316324,-0.0024808686253316326
40,2024-02-24 08:00:00,2024-02-24 09:00:00,2024-02-25 08:00:00,101.66,101.67,102.51,102.7921157836914,0.011136295334363644,0.8,1,0.008262024195928142,0.006862024195928141
41,2024-02-25 08:00:00,2024-02-25 09:00:00,2024-02-26 08:00:00,102.51,102.51,103.57,105.42718048095703,0.028457521031675224,1.0,1,0.010340454589796044,0.008940454589796044
42,2024-02-26 08:00:00,2024-02-26 09:00:00,2024-02-27 08:00:00,103.57,103.57,111.04,104.20895080566406,0.00616926528593289,0.6,1,0.07212513276045196,0.07072513276045196
43,2024-02-27 08:00:00,2024-02-27 09:00:00,2024-02-28 08:00:00,111.04,111.04,110.4,112.37617950439453,0.012033316862342613,0.8,1,-0.0057636887608069065,-0.007163688760806907
44,2024-02-28 08:00:00,2024-02-28 09:00:00,2024-02-29 08:00:00,110.4,110.41,131.65,112.88957824707032,0.02255052760027452,0.8,1,0.19237387917761084,0.19097387917761083
45,2024-02-29 08:00:00,2024-02-29 09:00:00,2024-03-01 08:00:00,131.65,131.64,132.17,123.23898010253906,-0.06388925102514957,0.2,-1,-0.004026131874810046,-0.005426131874810046
46,2024-03-01 08:00:00,2024-03-01 09:00:00,2024-03-02 08:00:00,132.17,132.16,129.79,126.0240264892578,-0.046500518353197975,0.2,-1,0.017932808716707105,0.016532808716707106
47,2024-03-02 08:00:00,2024-03-02 09:00:00,2024-03-03 08:00:00,129.79,129.79,126.77,125.45901336669922,-0.0333691858640941,0.2,-1,0.023268356576007343,0.021868356576007345
48,2024-03-03 08:00:00,2024-03-03 09:00:00,2024-03-04 08:00:00,126.77,126.77,132.0,124.42259216308594,-0.018517061109994938,0.4,-1,-0.041255817622465996,-0.042655817622465994
49,2024-03-04 08:00:00,2024-03-04 09:00:00,2024-03-05 08:00:00,132.0,132.0,130.13,126.43892822265624,-0.042129331646543575,0.0,-1,0.01416666666666666,0.01276666666666666
50,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-06 08:00:00,130.13,130.12,132.26,129.83496704101563,-0.0022672170827969795,0.4,-1,-0.016446357208730333,-0.017846357208730332
51,2024-03-06 08:00:00,2024-03-06 09:00:00,2024-03-07 08:00:00,132.26,132.27,140.88,131.34334869384764,-0.006930676743931175,0.4,-1,-0.06509412565207517,-0.06649412565207517
52,2024-03-07 08:00:00,2024-03-07 09:00:00,2024-03-08 08:00:00,140.88,140.88,145.79,138.18321533203124,-0.019142423821470377,0.2,-1,-0.03485235661555941,-0.03625235661555941
53,2024-03-08 08:00:00,2024-03-08 09:00:00,2024-03-09 08:00:00,145.79,145.78,147.27,144.26458740234375,-0.010463081128035156,0.2,-1,-0.010220880779256536,-0.011620880779256536
54,2024-03-09 08:00:00,2024-03-09 09:00:00,2024-03-10 08:00:00,147.27,147.28,147.85,144.9580108642578,-0.01569898238434304,0.0,-1,-0.003870179250407446,-0.005270179250407446
55,2024-03-10 08:00:00,2024-03-10 09:00:00,2024-03-11 08:00:00,147.85,147.86,149.03,147.6226837158203,-0.0015374790948913253,0.4,-1,-0.007912890572162823,-0.009312890572162823
56,2024-03-11 08:00:00,2024-03-11 09:00:00,2024-03-12 08:00:00,149.03,149.02,149.92,145.27676391601562,-0.025184433228104243,0.2,-1,-0.0060394577909004266,-0.007439457790900427
57,2024-03-12 08:00:00,2024-03-12 09:00:00,2024-03-13 08:00:00,149.92,149.92,152.33,153.89007263183595,0.026481274225159758,0.8,1,0.01607524012806838,0.01467524012806838
58,2024-03-13 08:00:00,2024-03-13 09:00:00,2024-03-14 08:00:00,152.33,152.32,169.13,153.97223205566405,0.010780752679472538,0.4,-1,-0.11035976890756305,-0.11175976890756305
59,2024-03-14 08:00:00,2024-03-14 09:00:00,2024-03-15 08:00:00,169.13,169.13,167.22,159.16856689453124,-0.05889808493743713,0.0,-1,0.011293088157039,0.009893088157039
60,2024-03-15 08:00:00,2024-03-15 09:00:00,2024-03-16 08:00:00,167.22,167.21,191.65,163.97999572753906,-0.019375698316355307,0.2,-1,-0.14616350696728664,-0.14756350696728665
61,2024-03-16 08:00:00,2024-03-16 09:00:00,2024-03-17 08:00:00,191.65,191.64,186.69,185.10466613769532,-0.03415253776313434,0.0,-1,0.025829680651220932,0.024429680651220934
62,2024-03-17 08:00:00,2024-03-17 09:00:00,2024-03-18 08:00:00,186.69,186.69,202.66,178.01909790039062,-0.04644545556596165,0.2,-1,-0.08554287856875042,-0.08694287856875042
63,2024-03-18 08:00:00,2024-03-18 09:00:00,2024-03-19 08:00:00,202.66,202.65,175.99,194.53746948242187,-0.040079593987852144,0.2,-1,0.13155687145324446,0.13015687145324445
64,2024-03-19 08:00:00,2024-03-19 09:00:00,2024-03-20 08:00:00,175.99,175.97,171.01,186.2504150390625,0.058301125285882674,1.0,1,-0.028186622719781784,-0.029586622719781783
65,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-21 08:00:00,171.01,171.0,187.91,177.45277709960936,0.037674855854098487,0.8,1,0.0988888888888888,0.0974888888888888
66,2024-03-21 08:00:00,2024-03-21 09:00:00,2024-03-22 08:00:00,187.91,187.91,177.23,193.98221130371093,0.032314465987499055,0.8,1,-0.056835719227289694,-0.05823571922728969
67,2024-03-22 08:00:00,2024-03-22 09:00:00,2024-03-23 08:00:00,177.23,177.23,175.84,185.6522186279297,0.04752140511160472,0.8,1,-0.007842915984878296,-0.009242915984878296
68,2024-03-23 08:00:00,2024-03-23 09:00:00,2024-03-24 08:00:00,175.84,175.85,175.79,186.1310272216797,0.05852495007779621,0.8,1,-0.0003411998862666854,-0.0017411998862666854
69,2024-03-24 08:00:00,2024-03-24 09:00:00,2024-03-25 08:00:00,175.79,175.8,187.15,185.87218627929687,0.057353582566112296,0.8,1,0.06456200227531284,0.06316200227531284
70,2024-03-25 08:00:00,2024-03-25 09:00:00,2024-03-26 08:00:00,187.15,187.15,194.3,193.4901611328125,0.033877430578746905,1.0,1,0.03820464867753137,0.036804648677531374
71,2024-03-26 08:00:00,2024-03-26 09:00:00,2024-03-27 08:00:00,194.3,194.3,185.01,201.57257080078125,0.03742959753361419,0.8,1,-0.047812660833762344,-0.04921266083376234
72,2024-03-27 08:00:00,2024-03-27 09:00:00,2024-03-28 08:00:00,185.01,185.01,186.96,190.43069152832032,0.029299451534081,0.8,1,0.010539970812388555,0.009139970812388555
73,2024-03-28 08:00:00,2024-03-28 09:00:00,2024-03-29 08:00:00,186.96,186.96,185.44,199.0434112548828,0.0646309972982606,1.0,1,-0.008130081300813052,-0.009530081300813053
74,2024-03-29 08:00:00,2024-03-29 09:00:00,2024-03-30 08:00:00,185.44,185.44,194.61,196.6752899169922,0.060587197567904386,0.8,1,0.0494499568593616,0.0480499568593616
75,2024-03-30 08:00:00,2024-03-30 09:00:00,2024-03-31 08:00:00,194.61,194.61,197.02,201.56595458984376,0.03574304809538944,1.0,1,0.012383741842659557,0.010983741842659557
76,2024-03-31 08:00:00,2024-03-31 09:00:00,2024-04-01 08:00:00,197.02,197.02,196.45,198.23704223632814,0.0061772522400168174,0.6,1,-0.002893107298751474,-0.004293107298751474
77,2024-04-01 08:00:00,2024-04-01 09:00:00,2024-04-02 08:00:00,196.45,196.46,181.1,197.58535766601562,0.005779372186386511,0.8,1,-0.07818385421968854,-0.07958385421968854
78,2024-04-02 08:00:00,2024-04-02 09:00:00,2024-04-03 08:00:00,181.1,181.11,190.61,180.90516967773436,-0.0010758162466351084,0.4,-1,-0.05245430953564134,-0.05385430953564134
79,2024-04-03 08:00:00,2024-04-03 09:00:00,2024-04-04 08:00:00,190.61,190.61,185.55,194.61628112792968,0.021018210628664137,1.0,1,-0.026546351188290185,-0.027946351188290183
80,2024-04-04 08:00:00,2024-04-04 09:00:00,2024-04-05 08:00:00,185.55,185.55,172.93,186.5177764892578,0.005215718077379683,0.4,-1,0.06801401239558069,0.0666140123955807
81,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-06 08:00:00,172.93,172.93,177.97,178.6967803955078,0.03334748392706759,1.0,1,0.029144740646504408,0.02774474064650441
82,2024-04-06 08:00:00,2024-04-06 09:00:00,2024-04-07 08:00:00,177.97,177.97,180.13,179.56878051757812,0.008983427080845785,0.4,-1,-0.01213687700174182,-0.01353687700174182
83,2024-04-07 08:00:00,2024-04-07 09:00:00,2024-04-08 08:00:00,180.13,180.15,183.63,179.01287231445312,-0.006201785852144948,0.4,-1,-0.019317235636969077,-0.020717235636969075
84,2024-04-08 08:00:00,2024-04-08 09:00:00,2024-04-09 08:00:00,183.63,183.64,175.31,185.7191955566406,0.011377201746123356,0.6,1,-0.04536048791113034,-0.04676048791113034
85,2024-04-09 08:00:00,2024-04-09 09:00:00,2024-04-10 08:00:00,175.31,175.31,170.7,176.21522216796876,0.005163551240481135,0.8,1,-0.026296275169699457,-0.027696275169699455
86,2024-04-10 08:00:00,2024-04-10 09:00:00,2024-04-11 08:00:00,170.7,170.71,174.74,174.4729766845703,0.02210296827516305,1.0,1,0.023607287212231265,0.022207287212231266
87,2024-04-11 08:00:00,2024-04-11 09:00:00,2024-04-12 08:00:00,174.74,174.74,172.9,172.31045532226562,-0.013903769473127969,0.0,-1,0.01052993018198467,0.00912993018198467
88,2024-04-12 08:00:00,2024-04-12 09:00:00,2024-04-13 08:00:00,172.9,172.9,149.83,176.19158325195312,0.01903749711945122,0.8,1,-0.13342972816657028,-0.1348297281665703
89,2024-04-13 08:00:00,2024-04-13 09:00:00,2024-04-14 08:00:00,149.83,149.83,142.99,161.76885070800782,0.07968264505110989,1.0,1,-0.04565173863712213,-0.04705173863712213
90,2024-04-14 08:00:00,2024-04-14 09:00:00,2024-04-15 08:00:00,142.99,142.98,153.34,146.37708129882813,0.023687539679894475,0.8,1,0.07245768638970485,0.07105768638970485
91,2024-04-15 08:00:00,2024-04-15 09:00:00,2024-04-16 08:00:00,153.34,153.33,136.68,152.6806182861328,-0.004300128563109374,0.4,-1,0.10858931715906872,0.10718931715906872
92,2024-04-16 08:00:00,2024-04-16 09:00:00,2024-04-17 08:00:00,136.68,136.67,138.74,143.38406066894532,0.049049317156462637,1.0,1,0.015145972049462442,0.013745972049462441
93,2024-04-17 08:00:00,2024-04-17 09:00:00,2024-04-18 08:00:00,138.74,138.74,130.14,134.69688110351564,-0.029141695952748913,0.0,-1,0.061986449473836136,0.06058644947383614
94,2024-04-18 08:00:00,2024-04-18 09:00:00,2024-04-19 08:00:00,130.14,130.15,144.19,129.57412414550782,-0.004348208502321915,0.6,1,0.10787552823664992,0.10647552823664992
95,2024-04-19 08:00:00,2024-04-19 09:00:00,2024-04-20 08:00:00,144.19,144.2,142.42,142.13035583496094,-0.014284237221992235,0.4,-1,0.012343966712898724,0.010943966712898724
96,2024-04-20 08:00:00,2024-04-20 09:00:00,2024-04-21 08:00:00,142.42,142.42,151.62,142.69842529296875,0.0019549592260128977,0.6,1,0.06459766886673224,0.06319766886673224
97,2024-04-21 08:00:00,2024-04-21 09:00:00,2024-04-22 08:00:00,151.62,151.62,152.63,149.97073974609376,-0.010877590383236057,0.4,-1,-0.006661390317900029,-0.008061390317900029
98,2024-04-22 08:00:00,2024-04-22 09:00:00,2024-04-23 08:00:00,152.63,152.64,154.25,155.3749572753906,0.01798438888416849,0.6,1,0.010547693920335499,0.009147693920335499
99,2024-04-23 08:00:00,2024-04-23 09:00:00,2024-04-24 08:00:00,154.25,154.25,157.33,153.16846923828126,-0.007011544646474843,0.2,-1,-0.019967585089140982,-0.02136758508914098
100,2024-04-24 08:00:00,2024-04-24 09:00:00,2024-04-25 08:00:00,157.33,157.34,146.43,160.27422485351562,0.01871369003696439,0.6,1,-0.06934028219143251,-0.07074028219143251
101,2024-04-25 08:00:00,2024-04-25 09:00:00,2024-04-26 08:00:00,146.43,146.43,144.2,145.61598205566406,-0.005559092701877688,0.6,1,-0.015229119715905348,-0.016629119715905347
102,2024-04-26 08:00:00,2024-04-26 09:00:00,2024-04-27 08:00:00,144.2,144.2,136.11,146.53443603515626,0.016188876804134965,0.6,1,-0.05610263522884862,-0.05750263522884862
103,2024-04-27 08:00:00,2024-04-27 09:00:00,2024-04-28 08:00:00,136.11,136.12,142.71,136.32669677734376,0.0015920709524923416,0.6,1,0.04841316485454006,0.04701316485454006
104,2024-04-28 08:00:00,2024-04-28 09:00:00,2024-04-29 08:00:00,142.71,142.71,134.9,141.65123901367187,-0.007418968441791973,0.4,-1,0.05472636815920395,0.053326368159203955
105,2024-04-29 08:00:00,2024-04-29 09:00:00,2024-04-30 08:00:00,134.9,134.89,130.87,128.69904022216798,-0.045967085084003226,0.0,-1,0.02980206093854243,0.02840206093854243
106,2024-04-30 08:00:00,2024-04-30 09:00:00,2024-05-01 08:00:00,130.87,130.88,121.24,134.2173583984375,0.025577736673320795,1.0,1,-0.07365525672371642,-0.07505525672371642
107,2024-05-01 08:00:00,2024-05-01 09:00:00,2024-05-02 08:00:00,121.24,121.24,133.35,125.70240478515625,0.03680637401151641,1.0,1,0.09988452655889146,0.09848452655889146
108,2024-05-02 08:00:00,2024-05-02 09:00:00,2024-05-03 08:00:00,133.35,133.36,137.43,137.2072509765625,0.028925766603393365,0.6,1,0.030518896220755876,0.029118896220755877
109,2024-05-03 08:00:00,2024-05-03 09:00:00,2024-05-04 08:00:00,137.43,137.43,144.93,139.64415283203124,0.016111131718192895,0.6,1,0.05457323728443564,0.05317323728443564
110,2024-05-04 08:00:00,2024-05-04 09:00:00,2024-05-05 08:00:00,144.93,144.92,145.93,147.9389892578125,0.02076167293046638,0.8,1,0.006969362406845203,0.005569362406845203
111,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-06 08:00:00,145.93,145.94,154.4,146.8500549316406,0.006304768941551564,0.6,1,0.05796902836782247,0.056569028367822474
112,2024-05-06 08:00:00,2024-05-06 09:00:00,2024-05-07 08:00:00,154.4,154.4,158.44,154.5750762939453,0.0011339138208893208,0.6,1,0.02616580310880834,0.02476580310880834
113,2024-05-07 08:00:00,2024-05-07 09:00:00,2024-05-08 08:00:00,158.44,158.44,146.52,154.88126220703126,-0.0224611069992978,0.2,-1,0.07523352688714968,0.07383352688714968
114,2024-05-08 08:00:00,2024-05-08 09:00:00,2024-05-09 08:00:00,146.52,146.52,143.8,150.24820861816406,0.025445049264018915,0.8,1,-0.01856401856401857,-0.019964018564018568
115,2024-05-09 08:00:00,2024-05-09 09:00:00,2024-05-10 08:00:00,143.8,143.79,154.06,138.7259063720703,-0.035285769318009044,0.0,-1,-0.07142360386675017,-0.07282360386675017
116,2024-05-10 08:00:00,2024-05-10 09:00:00,2024-05-11 08:00:00,154.06,154.07,144.05,151.8315185546875,-0.014465023012543843,0.4,-1,0.06503537353151156,0.06363537353151157
117,2024-05-11 08:00:00,2024-05-11 09:00:00,2024-05-12 08:00:00,144.05,144.06,144.99,146.16795654296874,0.014702926365628222,0.6,1,0.006455643481882545,0.005055643481882545
118,2024-05-12 08:00:00,2024-05-12 09:00:00,2024-05-13 08:00:00,144.99,144.98,144.62,148.90663452148436,0.027013135536825737,0.6,1,-0.0024831011173953588,-0.003883101117395359
119,2024-05-13 08:00:00,2024-05-13 09:00:00,2024-05-14 08:00:00,144.62,144.62,146.09,145.032421875,0.0028517623772645216,0.6,1,0.010164569215876051,0.008764569215876051
120,2024-05-14 08:00:00,2024-05-14 09:00:00,2024-05-15 08:00:00,146.09,146.07,144.21,146.93300170898436,0.005770427195457395,0.4,-1,0.012733620866707596,0.011333620866707595
121,2024-05-15 08:00:00,2024-05-15 09:00:00,2024-05-16 08:00:00,144.21,144.2,162.93,143.25350036621094,-0.006632685901040625,0.4,-1,-0.12988904299583925,-0.13128904299583927
122,2024-05-16 08:00:00,2024-05-16 09:00:00,2024-05-17 08:00:00,162.93,162.93,168.36,157.72321166992188,-0.031957210643086785,0.0,-1,-0.033327195728226844,-0.03472719572822684
123,2024-05-17 08:00:00,2024-05-17 09:00:00,2024-05-18 08:00:00,168.36,168.36,173.32,158.8937957763672,-0.05622596949176066,0.0,-1,-0.029460679496317255,-0.030860679496317253
124,2024-05-18 08:00:00,2024-05-18 09:00:00,2024-05-19 08:00:00,173.32,173.32,173.2,162.08267822265626,-0.06483568992236177,0.0,-1,0.0006923609508423523,-0.0007076390491576477
125,2024-05-19 08:00:00,2024-05-19 09:00:00,2024-05-20 08:00:00,173.2,173.21,177.59,164.009423828125,-0.05306337281683018,0.0,-1,-0.02528722360140856,-0.026687223601408558
