signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2025-10-23 15:15:00,2025-10-23 15:20:00,2025-10-23 17:15:00,190.42,190.41,190.91,190.61768493652343,0.0010381521716388066,0.4,-1,-0.002625912504595318,-0.004025912504595318
2,2025-10-23 17:15:00,2025-10-23 17:20:00,2025-10-23 19:15:00,190.91,190.91,190.75,190.222900390625,-0.0035990760535068445,0.4,-1,0.0008380912471844804,-0.0005619087528155196
3,2025-10-23 19:15:00,2025-10-23 19:20:00,2025-10-23 21:15:00,190.75,190.75,188.96,192.72835388183594,0.010371448921813586,0.8,1,-0.009384010484927874,-0.010784010484927874
4,2025-10-23 21:15:00,2025-10-23 21:20:00,2025-10-23 23:15:00,188.96,188.96,190.65,189.9654327392578,0.00532087605449727,0.8,1,0.008943691786621466,0.007543691786621466
5,2025-10-23 23:15:00,2025-10-23 23:20:00,2025-10-24 01:15:00,190.65,190.64,192.74,192.07450256347656,0.007471820422116781,1.0,1,0.011015526647083718,0.009615526647083717
6,2025-10-24 01:15:00,2025-10-24 01:20:00,2025-10-24 03:15:00,192.74,192.74,191.76,192.675537109375,-0.0003344551760143366,0.4,-1,0.005084569886894319,0.003684569886894319
7,2025-10-24 03:15:00,2025-10-24 03:20:00,2025-10-24 05:15:00,191.76,191.76,193.78,192.23308715820312,0.002467079464972555,0.8,1,0.010534000834376389,0.009134000834376389
8,2025-10-24 05:15:00,2025-10-24 05:20:00,2025-10-24 07:15:00,193.78,193.78,192.75,194.17092895507812,0.002017385463299259,0.4,-1,0.005315306017132815,0.003915306017132815
9,2025-10-24 07:15:00,2025-10-24 07:20:00,2025-10-24 09:15:00,192.75,192.75,193.18,192.98182373046876,0.0012027171489947808,0.6,1,0.0022308690012970978,0.0008308690012970978
10,2025-10-24 09:15:00,2025-10-24 09:20:00,2025-10-24 11:15:00,193.18,193.18,191.55,193.0621337890625,-0.0006101367167279159,0.4,-1,0.008437726472719675,0.007037726472719675
11,2025-10-24 11:15:00,2025-10-24 11:20:00,2025-10-24 13:15:00,191.55,191.54,193.98,191.88156433105468,0.001730954482143976,0.8,1,0.01273885350318471,0.01133885350318471
12,2025-10-24 13:15:00,2025-10-24 13:20:00,2025-10-24 15:15:00,193.98,193.97,190.26,193.67806701660157,-0.001556516050100165,0.4,-1,0.019126669072537017,0.01772666907253702
13,2025-10-24 15:15:00,2025-10-24 15:20:00,2025-10-24 17:15:00,190.26,190.26,191.08,189.59359436035157,-0.003502605064902897,0.2,-1,-0.004309891727110493,-0.005709891727110493
14,2025-10-24 17:15:00,2025-10-24 17:20:00,2025-10-24 19:15:00,191.08,191.08,192.77,191.0736511230469,-3.3226276706810334e-05,0.4,-1,-0.008844463052124718,-0.010244463052124718
15,2025-10-24 19:15:00,2025-10-24 19:20:00,2025-10-24 21:15:00,192.77,192.77,193.77,192.80990295410157,0.0002069977387640476,0.4,-1,-0.005187529179851547,-0.006587529179851547
16,2025-10-24 21:15:00,2025-10-24 21:20:00,2025-10-24 23:15:00,193.77,193.76,193.25,193.48504028320312,-0.0014706080239298203,0.4,-1,0.0026321222130469835,0.0012321222130469835
17,2025-10-24 23:15:00,2025-10-24 23:20:00,2025-10-25 01:15:00,193.25,193.25,193.49,192.32797241210938,-0.004771164749757473,0.0,-1,-0.001241914618369977,-0.002641914618369977
18,2025-10-25 01:15:00,2025-10-25 01:20:00,2025-10-25 03:15:00,193.49,193.49,193.84,193.40486755371094,-0.00043998370091000714,0.4,-1,-0.0018088790118351294,-0.0032088790118351296
19,2025-10-25 03:15:00,2025-10-25 03:20:00,2025-10-25 05:15:00,193.84,193.83,193.88,193.77884826660156,-0.0003154753064302129,0.8,1,0.00025795800443684236,-0.0011420419955631576
20,2025-10-25 05:15:00,2025-10-25 05:20:00,2025-10-25 07:15:00,193.88,193.88,194.45,194.35908203125,0.002471023474571887,0.6,1,0.002939962863626855,0.001539962863626855
21,2025-10-25 07:15:00,2025-10-25 07:20:00,2025-10-25 09:15:00,194.45,194.46,194.37,194.42665100097656,-0.00012007713563089162,0.4,-1,0.00046282011724774197,-0.000937179882752258
