signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2020-03-14,2020-03-15,2020-04-07,24.95,24.94,36.45,39.92900848388672,0.6003610614784256,1.0,1,0.4615076182838813,0.4601076182838813
2,2020-04-07,2020-04-08,2020-05-01,36.45,36.44,45.73,39.547882080078125,0.08498990617498274,0.8,1,0.25493962678375404,0.253539626783754
3,2020-05-01,2020-05-02,2020-05-25,45.73,45.72,45.94,45.559584045410155,-0.003726567998903141,0.6,1,0.00481189851268593,0.00341189851268593
4,2020-05-25,2020-05-26,2020-06-18,45.94,45.98,51.95,51.847199249267575,0.12858509467278142,0.8,1,0.1298390604610702,0.12843906046107018
5,2020-06-18,2020-06-19,2020-07-12,51.95,51.95,58.65,48.29265441894531,-0.07040126238796322,0.2,-1,-0.12897016361886426,-0.13037016361886428
6,2020-07-12,2020-07-13,2020-08-05,58.65,58.7,97.46,46.104132080078124,-0.2139107914735187,0.0,-1,-0.6603066439522995,-0.6617066439522995
7,2020-08-05,2020-08-06,2020-08-29,97.46,97.46,78.68,49.61653289794922,-0.490903623045873,0.0,-1,0.19269443874409997,0.19129443874409996
8,2020-08-29,2020-08-30,2020-09-22,78.68,78.66,53.31,59.77433319091797,-0.24028554663296947,0.0,-1,0.32227307398932103,0.320873073989321
9,2020-09-22,2020-09-23,2020-10-16,53.31,53.31,62.59,51.908782958984375,-0.02628431890856555,0.6,1,0.1740761583192647,0.1726761583192647
10,2020-10-16,2020-10-17,2020-11-09,62.59,62.57,58.42,60.02284240722656,-0.0410154592230938,0.2,-1,0.06632571519897712,0.06492571519897712
11,2020-11-09,2020-11-10,2020-12-03,58.42,58.41,75.69,54.88979568481445,-0.0604280095033473,0.4,-1,-0.2958397534668722,-0.2972397534668722
12,2020-12-03,2020-12-04,2020-12-27,75.69,75.65,66.97,66.59982528686524,-0.12009743312372523,0.0,-1,0.11473892927957707,0.11333892927957707
13,2020-12-27,2020-12-28,2021-01-20,66.97,66.95,98.99,60.61753540039062,-0.0948553770286602,0.0,-1,-0.47856609410007445,-0.47996609410007446
14,2021-01-20,2021-01-21,2021-02-13,98.99,99.07,176.11,72.63787994384765,-0.26620992076121164,0.0,-1,-0.7776319773897247,-0.7790319773897246
15,2021-02-13,2021-02-14,2021-03-09,176.11,176.1,137.69,76.39771270751953,-0.566193216129013,0.0,-1,0.21811470755252693,0.21671470755252692
16,2021-03-09,2021-03-10,2021-04-02,137.69,137.76,169.52,77.25976867675782,-0.4388861306067412,0.0,-1,-0.23054587688734052,-0.23194587688734053
17,2021-04-02,2021-04-03,2021-04-26,169.52,169.5,227.09,90.5442611694336,-0.46587859149697036,0.0,-1,-0.33976401179941007,-0.3411640117994101
18,2021-04-26,2021-04-27,2021-05-20,227.09,226.94,182.4,135.44087982177734,-0.40358060759268427,0.0,-1,0.19626332951440906,0.19486332951440904
19,2021-05-20,2021-05-21,2021-06-13,182.4,182.32,133.06,114.70752258300782,-0.37112103847035194,0.0,-1,0.27018429135585775,0.26878429135585774
20,2021-06-13,2021-06-14,2021-07-07,133.06,133.04,118.55,83.3467788696289,-0.3736150693699917,0.0,-1,0.10891461214672271,0.10751461214672271
