signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2024-01-16 09:00:00,2024-01-16 10:00:00,2024-01-17 09:00:00,23.7,23.7,22.99,23.242289352416993,-0.019312685552025633,0.2,-1,0.029957805907173007,0.02855780590717301
2,2024-01-17 09:00:00,2024-01-17 10:00:00,2024-01-18 09:00:00,22.99,22.99,22.99,22.013367462158204,-0.04248075414709858,0.2,-1,-0.0,-0.0014
3,2024-01-18 09:00:00,2024-01-18 10:00:00,2024-01-19 09:00:00,22.99,22.98,22.79,22.975049209594726,-0.0006503171120170404,0.6,1,-0.008268059181897325,-0.009668059181897325
4,2024-01-19 09:00:00,2024-01-19 10:00:00,2024-01-20 09:00:00,22.79,22.78,23.25,23.019762420654295,0.01008172095894242,0.4,-1,-0.02063213345039494,-0.02203213345039494
5,2024-01-20 09:00:00,2024-01-20 10:00:00,2024-01-21 09:00:00,23.25,23.23,23.92,22.827744674682616,-0.018161519368489597,0.4,-1,-0.02970297029702973,-0.031102970297029728
6,2024-01-21 09:00:00,2024-01-21 10:00:00,2024-01-22 09:00:00,23.92,23.92,22.97,23.92692756652832,0.00028961398529760987,0.8,1,-0.03971571906354532,-0.04111571906354532
7,2024-01-22 09:00:00,2024-01-22 10:00:00,2024-01-23 09:00:00,22.97,22.99,21.17,22.69472427368164,-0.011984141328618114,0.4,-1,0.0791648542844714,0.0777648542844714
8,2024-01-23 09:00:00,2024-01-23 10:00:00,2024-01-24 09:00:00,21.17,21.17,22.18,21.6799674987793,0.024089159129867532,1.0,1,0.04770902220122797,0.04630902220122797
9,2024-01-24 09:00:00,2024-01-24 10:00:00,2024-01-25 09:00:00,22.18,22.16,21.98,22.253768920898438,0.003325920689740203,0.6,1,-0.008122743682310474,-0.009522743682310474
10,2024-01-25 09:00:00,2024-01-25 10:00:00,2024-01-26 09:00:00,21.98,21.99,22.26,21.605759811401366,-0.017026396205579285,0.2,-1,-0.012278308321964637,-0.013678308321964637
11,2024-01-26 09:00:00,2024-01-26 10:00:00,2024-01-27 09:00:00,22.26,22.27,22.56,21.95242042541504,-0.013817590951705405,0.0,-1,-0.01302200269420739,-0.014422002694207391
12,2024-01-27 09:00:00,2024-01-27 10:00:00,2024-01-28 09:00:00,22.56,22.56,22.79,22.32391815185547,-0.010464620928392288,0.2,-1,-0.010195035460992985,-0.011595035460992985
13,2024-01-28 09:00:00,2024-01-28 10:00:00,2024-01-29 09:00:00,22.79,22.78,22.63,22.816265106201172,0.0011524838175152262,0.8,1,-0.0065847234416155365,-0.007984723441615537
14,2024-01-29 09:00:00,2024-01-29 10:00:00,2024-01-30 09:00:00,22.63,22.63,23.0,22.74948501586914,0.005279938836462295,0.6,1,0.016349977905435242,0.014949977905435242
15,2024-01-30 09:00:00,2024-01-30 10:00:00,2024-01-31 09:00:00,23.0,22.99,22.1,23.544867324829102,0.02368988368822187,1.0,1,-0.03871248368856006,-0.04011248368856006
16,2024-01-31 09:00:00,2024-01-31 10:00:00,2024-02-01 09:00:00,22.1,22.1,21.51,22.73746337890625,0.028844496783088137,1.0,1,-0.026696832579185537,-0.028096832579185535
17,2024-02-01 09:00:00,2024-02-01 10:00:00,2024-02-02 09:00:00,21.51,21.53,21.79,21.782804107666017,0.012682664233659357,1.0,1,0.01207617278216433,0.01067617278216433
18,2024-02-02 09:00:00,2024-02-02 10:00:00,2024-02-03 09:00:00,21.79,21.8,22.06,21.47189865112305,-0.014598501554701793,0.4,-1,-0.011926605504587018,-0.013326605504587018
19,2024-02-03 09:00:00,2024-02-03 10:00:00,2024-02-04 09:00:00,22.06,22.07,21.72,22.35332374572754,0.01329663398583596,0.8,1,-0.015858631626642583,-0.01725863162664258
20,2024-02-04 09:00:00,2024-02-04 10:00:00,2024-02-05 09:00:00,21.72,21.71,21.59,21.679148864746093,-0.0018808073321319174,0.4,-1,0.005527406725011508,0.0041274067250115076
21,2024-02-05 09:00:00,2024-02-05 10:00:00,2024-02-06 09:00:00,21.59,21.59,21.17,21.629496765136718,0.001829400886369581,0.4,-1,0.019453450671607087,0.018053450671607088
22,2024-02-06 09:00:00,2024-02-06 10:00:00,2024-02-07 09:00:00,21.17,21.15,19.93,21.34252510070801,0.008149508772225134,0.8,1,-0.05768321513002361,-0.05908321513002361
23,2024-02-07 09:00:00,2024-02-07 10:00:00,2024-02-08 09:00:00,19.93,19.92,20.72,20.723226165771486,0.03980061042506198,1.0,1,0.04016064257028096,0.03876064257028096
24,2024-02-08 09:00:00,2024-02-08 10:00:00,2024-02-09 09:00:00,20.72,20.72,20.81,20.867490386962892,0.007118261919058511,0.6,1,0.004343629343629418,0.002943629343629418
25,2024-02-09 09:00:00,2024-02-09 10:00:00,2024-02-10 09:00:00,20.81,20.81,20.65,21.033200073242188,0.01072561620577559,0.8,1,-0.007688611244593968,-0.009088611244593968
26,2024-02-10 09:00:00,2024-02-10 10:00:00,2024-02-11 09:00:00,20.65,20.67,20.96,20.703293228149413,0.002580785866799773,0.4,-1,-0.014029995162070596,-0.015429995162070597
27,2024-02-11 09:00:00,2024-02-11 10:00:00,2024-02-12 09:00:00,20.96,20.95,20.33,21.030522537231445,0.003364624867912447,0.6,1,-0.02959427207637233,-0.03099427207637233
28,2024-02-12 09:00:00,2024-02-12 10:00:00,2024-02-13 09:00:00,20.33,20.33,21.19,20.318787002563475,-0.0005515493082401512,0.4,-1,-0.042302016724053315,-0.043702016724053314
29,2024-02-13 09:00:00,2024-02-13 10:00:00,2024-02-14 09:00:00,21.19,21.18,21.15,21.416672134399413,0.010697127626211066,0.6,1,-0.0014164305949009304,-0.0028164305949009306
30,2024-02-14 09:00:00,2024-02-14 10:00:00,2024-02-15 09:00:00,21.15,21.14,21.83,21.231468200683594,0.003851924382203098,0.6,1,0.03263954588457896,0.03123954588457896
31,2024-02-15 09:00:00,2024-02-15 10:00:00,2024-02-16 09:00:00,21.83,21.83,22.72,21.76069107055664,-0.0031749395072541375,0.6,1,0.040769583142464594,0.039369583142464595
32,2024-02-16 09:00:00,2024-02-16 10:00:00,2024-02-17 09:00:00,22.72,22.72,22.56,22.41702308654785,-0.01333525147236565,0.2,-1,0.007042253521126751,0.005642253521126751
33,2024-02-17 09:00:00,2024-02-17 10:00:00,2024-02-18 09:00:00,22.56,22.56,25.65,22.58401527404785,0.0010645068283622772,0.6,1,0.13696808510638303,0.13556808510638302
34,2024-02-18 09:00:00,2024-02-18 10:00:00,2024-02-19 09:00:00,25.65,25.66,25.32,25.366923141479493,-0.011036134835107481,0.4,-1,0.013250194855806696,0.011850194855806696
35,2024-02-19 09:00:00,2024-02-19 10:00:00,2024-02-20 09:00:00,25.32,25.33,25.1,24.645854187011718,-0.026625032108541925,0.2,-1,0.009080142123963575,0.007680142123963575
36,2024-02-20 09:00:00,2024-02-20 10:00:00,2024-02-21 09:00:00,25.1,25.1,23.69,24.77868309020996,-0.01280147050956335,0.2,-1,0.05617529880478089,0.054775298804780895
37,2024-02-21 09:00:00,2024-02-21 10:00:00,2024-02-22 09:00:00,23.69,23.69,28.3,23.837560653686523,0.006228816111714752,0.6,1,0.19459687631912193,0.1931968763191219
38,2024-02-22 09:00:00,2024-02-22 10:00:00,2024-02-23 09:00:00,28.3,28.29,26.58,26.425236892700195,-0.06624604619433942,0.0,-1,0.0604453870625663,0.059045387062566304
39,2024-02-23 09:00:00,2024-02-23 10:00:00,2024-02-24 09:00:00,26.58,26.58,27.57,26.606798934936524,0.001008236829816611,0.2,-1,-0.03724604966139955,-0.03864604966139955
40,2024-02-24 09:00:00,2024-02-24 10:00:00,2024-02-25 09:00:00,27.57,27.54,27.64,26.79865264892578,-0.027977778421262922,0.0,-1,-0.0036310820624547713,-0.0050310820624547715
41,2024-02-25 09:00:00,2024-02-25 10:00:00,2024-02-26 09:00:00,27.64,27.64,28.02,27.4292854309082,-0.007623537231975286,0.4,-1,-0.01374819102749636,-0.01514819102749636
42,2024-02-26 09:00:00,2024-02-26 10:00:00,2024-02-27 09:00:00,28.02,28.0,29.78,28.318775939941407,0.010662952888701182,0.6,1,0.06357142857142861,0.062171428571428614
43,2024-02-27 09:00:00,2024-02-27 10:00:00,2024-02-28 09:00:00,29.78,29.8,29.0,29.501017761230468,-0.009368107413348948,0.2,-1,0.02684563758389269,0.02544563758389269
44,2024-02-28 09:00:00,2024-02-28 10:00:00,2024-02-29 09:00:00,29.0,29.0,29.84,29.2617618560791,0.009026270899279387,0.6,1,0.028965517241379413,0.027565517241379414
45,2024-02-29 09:00:00,2024-02-29 10:00:00,2024-03-01 09:00:00,29.84,29.84,29.34,29.28304100036621,-0.018664845832231537,0.2,-1,0.016756032171581725,0.015356032171581725
46,2024-03-01 09:00:00,2024-03-01 10:00:00,2024-03-02 09:00:00,29.34,29.33,30.4,29.547988510131837,0.007088906275795415,0.6,1,0.036481418342993566,0.03508141834299357
47,2024-03-02 09:00:00,2024-03-02 10:00:00,2024-03-03 09:00:00,30.4,30.39,31.88,29.586887741088866,-0.02674711377997143,0.0,-1,-0.04902928594932532,-0.05042928594932532
48,2024-03-03 09:00:00,2024-03-03 10:00:00,2024-03-04 09:00:00,31.88,31.89,32.58,31.638181304931642,-0.007585279017200697,0.6,1,0.021636876763875712,0.020236876763875714
49,2024-03-04 09:00:00,2024-03-04 10:00:00,2024-03-05 09:00:00,32.58,32.58,33.98,32.026001358032225,-0.01700425543179167,0.2,-1,-0.042971147943523524,-0.04437114794352352
50,2024-03-05 09:00:00,2024-03-05 10:00:00,2024-03-06 09:00:00,33.98,33.98,30.95,32.15381126403808,-0.05374304696768424,0.0,-1,0.08917010005885806,0.08777010005885806
51,2024-03-06 09:00:00,2024-03-06 10:00:00,2024-03-07 09:00:00,30.95,30.95,33.8,31.03623275756836,0.002786195721110207,0.6,1,0.0920840064620354,0.09068400646203541
52,2024-03-07 09:00:00,2024-03-07 10:00:00,2024-03-08 09:00:00,33.8,33.81,34.8,33.15187301635742,-0.019175354545638325,0.0,-1,-0.029281277728482547,-0.030681277728482545
53,2024-03-08 09:00:00,2024-03-08 10:00:00,2024-03-09 09:00:00,34.8,34.82,35.52,33.97829246520996,-0.023612285482472316,0.2,-1,-0.02010338885697882,-0.02150338885697882
54,2024-03-09 09:00:00,2024-03-09 10:00:00,2024-03-10 09:00:00,35.52,35.52,33.27,34.186249542236325,-0.03754928090550882,0.0,-1,0.06334459459459463,0.06194459459459463
55,2024-03-10 09:00:00,2024-03-10 10:00:00,2024-03-11 09:00:00,33.27,33.27,33.08,33.31438293457031,0.001334022680201663,0.4,-1,0.005710850616170826,0.004310850616170826
56,2024-03-11 09:00:00,2024-03-11 10:00:00,2024-03-12 09:00:00,33.08,33.08,33.32,34.10252685546875,0.030910727190711973,0.8,1,0.007255139056832061,0.00585513905683206
57,2024-03-12 09:00:00,2024-03-12 10:00:00,2024-03-13 09:00:00,33.32,33.3,34.34,34.793871307373045,0.044233832754293136,1.0,1,0.031231231231231504,0.029831231231231506
58,2024-03-13 09:00:00,2024-03-13 10:00:00,2024-03-14 09:00:00,34.34,34.35,35.48,35.24224090576172,0.026273759631966077,0.6,1,0.03289665211062576,0.03149665211062576
59,2024-03-14 09:00:00,2024-03-14 10:00:00,2024-03-15 09:00:00,35.48,35.48,30.78,35.52132110595703,0.0011646309458013925,0.4,-1,0.13246899661781275,0.13106899661781274
60,2024-03-15 09:00:00,2024-03-15 10:00:00,2024-03-16 09:00:00,30.78,30.78,31.72,31.478789138793946,0.02270270106543031,0.6,1,0.03053931124106546,0.02913931124106546
61,2024-03-16 09:00:00,2024-03-16 10:00:00,2024-03-17 09:00:00,31.72,31.71,29.01,31.981862258911132,0.008255430608799918,0.4,-1,0.08514664143803219,0.08374664143803219
62,2024-03-17 09:00:00,2024-03-17 10:00:00,2024-03-18 09:00:00,29.01,29.03,28.41,30.25476417541504,0.0429081067016559,1.0,1,-0.021357216672407864,-0.022757216672407862
63,2024-03-18 09:00:00,2024-03-18 10:00:00,2024-03-19 09:00:00,28.41,28.39,25.51,29.297600173950194,0.031242526362203326,1.0,1,-0.10144417048256427,-0.10284417048256426
64,2024-03-19 09:00:00,2024-03-19 10:00:00,2024-03-20 09:00:00,25.51,25.53,26.11,27.306839370727538,0.07043666682585403,1.0,1,0.022718370544457356,0.021318370544457357
