timestamp,open,high,low,close,volume,amount
2019-03-18,58.5,59.1,53.31,57.21,24755.77298,1395976.8459178
2019-03-25,57.06,59.52,52.72,58.65,41837.22562,2359914.568923
2019-04-01,58.78,77.0,58.13,74.37,117555.09362,8069194.3328536
2019-04-08,74.21,76.07,63.32,69.6,84937.96481,5963025.1029454
2019-04-15,69.6,71.75,65.4,67.91,34707.40415,2394884.6299085
2019-04-22,68.11,70.97,59.17,60.6,46518.25328,2978702.9904652
2019-04-29,60.42,64.27,57.05,59.59,35932.17416,2168411.9184667
2019-05-06,59.73,65.7,55.5,60.67,60985.56912,3650670.1429647
2019-05-13,60.67,82.18,59.82,77.6,113242.23232,8131352.9420203
2019-05-20,77.57,77.89,67.5,75.32,68773.37088,5053118.0069786
2019-05-27,75.1,98.36,74.25,88.86,202258.03357,17521473.5223406
2019-06-03,88.87,89.27,75.39,77.35,129172.38963,10527719.0343815
2019-06-10,77.2,95.98,76.14,93.51,147836.45639,13059310.113714
2019-06-17,93.35,117.56,93.35,110.25,301281.9434,32705449.0521431
2019-06-24,110.34,125.79,97.61,103.3,222179.25146,24494567.6464152
2019-07-01,103.44,107.25,96.05,106.45,92665.74872,9458554.7239098
2019-07-08,106.21,106.98,79.54,82.29,123705.46081,11607549.9455226
2019-07-15,82.29,82.45,63.76,75.37,163501.83354,12213039.5611286
2019-07-22,75.54,76.51,65.47,68.72,57059.00103,4042730.0122385
2019-07-29,68.78,69.79,63.15,65.73,74483.29427,4945489.0000787
2019-08-05,65.73,67.99,55.73,59.91,115261.46217,7215851.4169084
2019-08-12,60.01,60.08,47.52,52.62,79420.51912,4210401.2381336
2019-08-19,52.68,54.48,48.16,50.15,48851.46802,2486951.7541911
2019-08-26,50.26,53.59,43.73,45.21,50040.45497,2388477.6010531
2019-09-02,45.23,48.66,44.21,48.28,64620.46821,2974326.7211837
2019-09-09,48.28,48.31,43.48,46.63,56821.4002,2589839.4017701
2019-09-16,46.63,53.36,45.66,46.13,95530.75887,4717315.7777042
2019-09-23,46.13,46.19,29.69,37.74,318202.15017,11975032.9167067
2019-09-30,37.71,39.99,35.25,35.57,99721.7343,3740229.2969771
2019-10-07,35.56,38.28,35.14,36.9,177735.14759,6556279.3286116
2019-10-14,36.94,37.68,35.21,36.32,133172.3647,4841479.1517195
2019-10-21,36.3,39.31,31.85,37.32,313204.1503,11254049.8909274
2019-10-28,37.32,42.21,36.68,37.03,289684.4227,11208919.3437958
