signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return
1,2025-10-23 15:40:00,2025-10-23 15:45:00,2025-10-23 17:40:00,235.47,235.46,241.53,234.3957733154297,-0.004562053274601086,0.2,-1,-0.025779325575469247,-0.027179325575469246
2,2025-10-23 17:40:00,2025-10-23 17:45:00,2025-10-23 19:40:00,241.53,241.55,237.48,240.61243896484376,-0.003798952656631727,0.4,-1,0.01684951355826958,0.01544951355826958
3,2025-10-23 19:40:00,2025-10-23 19:45:00,2025-10-23 21:40:00,237.48,237.53,234.96,235.76465759277343,-0.007223102607489262,0.6,1,-0.010819685934408296,-0.012219685934408296
4,2025-10-23 21:40:00,2025-10-23 21:45:00,2025-10-23 23:40:00,234.96,234.96,242.84,236.58162536621094,0.006901708232086001,0.8,1,0.033537623425263785,0.03213762342526379
5,2025-10-23 23:40:00,2025-10-23 23:45:00,2025-10-24 01:40:00,242.84,242.78,253.92,243.66107788085938,0.0033811475904273135,0.6,1,0.04588516352253058,0.04448516352253058
6,2025-10-24 01:40:00,2025-10-24 01:45:00,2025-10-24 03:40:00,253.92,253.97,257.2,250.6247985839844,-0.012977321266602138,0.0,-1,-0.012718037563491658,-0.014118037563491658
7,2025-10-24 03:40:00,2025-10-24 03:45:00,2025-10-24 05:40:00,257.2,257.19,266.51,253.3731689453125,-0.014878814365036908,0.0,-1,-0.03623780084762229,-0.03763780084762229
8,2025-10-24 05:40:00,2025-10-24 05:45:00,2025-10-24 07:40:00,266.51,266.45,257.61,262.27197265625,-0.015901944931709842,0.0,-1,0.03317695627697492,0.031776956276974924
9,2025-10-24 07:40:00,2025-10-24 07:45:00,2025-10-24 09:40:00,257.61,257.52,262.93,259.9744110107422,0.009178257873305262,0.8,1,0.021008077042559803,0.019608077042559804
10,2025-10-24 09:40:00,2025-10-24 09:45:00,2025-10-24 11:40:00,262.93,262.92,264.95,261.5795501708984,-0.005136157262775498,0.4,-1,-0.007720979765708069,-0.00912097976570807
11,2025-10-24 11:40:00,2025-10-24 11:45:00,2025-10-24 13:40:00,264.95,265.0,261.07,263.57744750976565,-0.00518042079726122,0.4,-1,0.014830188679245349,0.013430188679245348
12,2025-10-24 13:40:00,2025-10-24 13:45:00,2025-10-24 15:40:00,261.07,261.1,253.4,259.1973815917969,-0.007172859417792621,0.8,1,-0.029490616621983934,-0.030890616621983932
13,2025-10-24 15:40:00,2025-10-24 15:45:00,2025-10-24 17:40:00,253.4,253.51,257.36,254.96939086914062,0.006193334132362361,0.8,1,0.015186777641907678,0.013786777641907678
14,2025-10-24 17:40:00,2025-10-24 17:45:00,2025-10-24 19:40:00,257.36,257.25,260.35,260.3470520019531,0.011606512286109405,1.0,1,0.012050534499514098,0.010650534499514098
15,2025-10-24 19:40:00,2025-10-24 19:45:00,2025-10-24 21:40:00,260.35,260.35,260.05,264.3227264404297,0.015259175880275255,0.8,1,-0.0011522949875168997,-0.0025522949875169
16,2025-10-24 21:40:00,2025-10-24 21:45:00,2025-10-24 23:40:00,260.05,260.06,268.63,259.9026153564453,-0.0005667550223215079,0.6,1,0.03295393370760591,0.03155393370760591
17,2025-10-24 23:40:00,2025-10-24 23:45:00,2025-10-25 01:40:00,268.63,268.78,268.5,270.36961059570314,0.006475861205759337,0.6,1,-0.0010417441773939995,-0.0024417441773939997
18,2025-10-25 01:40:00,2025-10-25 01:45:00,2025-10-25 03:40:00,268.5,268.52,268.1,273.66688842773436,0.019243532319308664,1.0,1,-0.0015641293013554103,-0.0029641293013554105
19,2025-10-25 03:40:00,2025-10-25 03:45:00,2025-10-25 05:40:00,268.1,268.07,270.31,270.42913208007815,0.008687549720544974,0.8,1,0.008356026411012074,0.006956026411012074
20,2025-10-25 05:40:00,2025-10-25 05:45:00,2025-10-25 07:40:00,270.31,270.36,269.06,268.5387451171875,-0.006552679822472341,0.4,-1,0.004808403610001566,0.0034084036100015657
21,2025-10-25 07:40:00,2025-10-25 07:45:00,2025-10-25 09:40:00,269.06,268.92,270.87,267.29718627929685,-0.0065517495008664325,0.2,-1,-0.007251227130745219,-0.00865122713074522
22,2025-10-25 09:40:00,2025-10-25 09:45:00,2025-10-25 11:40:00,270.87,270.9,270.76,271.4035583496094,0.0019697949186301853,0.6,1,-0.000516795865633024,-0.001916795865633024
23,2025-10-25 11:40:00,2025-10-25 11:45:00,2025-10-25 13:40:00,270.76,270.75,272.44,270.3175537109375,-0.0016340902979114168,0.2,-1,-0.006241920590950967,-0.007641920590950967
24,2025-10-25 13:40:00,2025-10-25 13:45:00,2025-10-25 15:40:00,272.44,272.41,271.78,272.665576171875,0.0008279847741704538,0.4,-1,0.002312690429866926,0.000912690429866926
25,2025-10-25 15:40:00,2025-10-25 15:45:00,2025-10-25 17:40:00,271.78,271.65,272.32,271.9018493652344,0.0004483382339922182,0.8,1,0.0024664089821462287,0.0010664089821462287
26,2025-10-25 17:40:00,2025-10-25 17:45:00,2025-10-25 19:40:00,272.32,272.32,271.92,269.402978515625,-0.010711741643562723,0.6,1,-0.001468860164512309,-0.002868860164512309
27,2025-10-25 19:40:00,2025-10-25 19:45:00,2025-10-25 21:40:00,271.92,271.91,275.68,274.47386474609374,0.00939197096974742,0.4,-1,-0.01386488176234768,-0.01526488176234768
28,2025-10-25 21:40:00,2025-10-25 21:45:00,2025-10-25 23:40:00,275.68,275.69,273.82,276.8912658691406,0.004393738643139189,0.6,1,-0.006782980884326606,-0.008182980884326606
29,2025-10-25 23:40:00,2025-10-25 23:45:00,2025-10-26 01:40:00,273.82,273.81,275.82,275.53045043945315,0.006246623473278534,0.8,1,0.0073408567985098205,0.00594085679850982
30,2025-10-26 01:40:00,2025-10-26 01:45:00,2025-10-26 03:40:00,275.82,275.81,288.9,274.06805419921875,-0.006351772173088399,0.0,-1,-0.04746020811428142,-0.04886020811428142
31,2025-10-26 03:40:00,2025-10-26 03:45:00,2025-10-26 05:40:00,288.9,289.07,286.65,284.6201232910156,-0.014814388054636063,0.2,-1,0.008371674680873187,0.006971674680873187
32,2025-10-26 05:40:00,2025-10-26 05:45:00,2025-10-26 07:40:00,286.65,286.61,300.41,283.4106811523437,-0.011300606480572916,0.2,-1,-0.048149052719723695,-0.049549052719723694
33,2025-10-26 07:40:00,2025-10-26 07:45:00,2025-10-26 09:40:00,300.41,300.42,310.82,293.69415893554685,-0.022355584249702565,0.0,-1,-0.03461820118500758,-0.03601820118500758
34,2025-10-26 09:40:00,2025-10-26 09:45:00,2025-10-26 11:40:00,310.82,310.82,317.25,302.8446960449219,-0.025658914983199655,0.2,-1,-0.020687214464963688,-0.022087214464963686
35,2025-10-26 11:40:00,2025-10-26 11:45:00,2025-10-26 13:40:00,317.25,317.3,334.26,311.3182739257812,-0.018697324111012614,0.2,-1,-0.053450992751339355,-0.05485099275133935
36,2025-10-26 13:40:00,2025-10-26 13:45:00,2025-10-26 15:40:00,334.26,334.26,348.92,326.52691650390625,-0.023134935367958298,0.0,-1,-0.04385807455274349,-0.045258074552743485
37,2025-10-26 15:40:00,2025-10-26 15:45:00,2025-10-26 17:40:00,348.92,348.92,355.69,335.112353515625,-0.03957252804188645,0.0,-1,-0.01940272841912183,-0.020802728419121827
38,2025-10-26 17:40:00,2025-10-26 17:45:00,2025-10-26 19:40:00,355.69,355.8,352.94,343.5499633789062,-0.03413094723240391,0.0,-1,0.008038223721191673,0.006638223721191673
