signal_number,signal_timestamp,entry_timestamp,exit_timestamp,upside_probability,forecast_return,position,exit_reason,exit_price,underlying_return,net_return,equity
1,2023-01-15 23:00:00,2023-01-16,2023-01-16 23:00:00,0.0,-0.0315253101251275,0,flat,,0.0,0.0,1.0
2,2023-01-16 23:00:00,2023-01-17,2023-01-17 23:00:00,0.0,-0.0176344005300094,0,flat,,0.0,0.0,1.0
3,2023-01-17 23:00:00,2023-01-18,2023-01-18 23:00:00,0.2,-0.0072056058899527,0,flat,,0.0,0.0,1.0
4,2023-01-18 23:00:00,2023-01-19,2023-01-19 23:00:00,0.6,0.0058811918218085,0,flat,,0.0,0.0,1.0
5,2023-01-19 23:00:00,2023-01-20,2023-01-20 23:00:00,0.8,0.0073230761677497,0,flat,,0.0,0.0,1.0
6,2023-01-20 23:00:00,2023-01-21,2023-01-21 23:00:00,0.4,-0.0061560097755624,0,flat,,0.0,0.0,1.0
7,2023-01-21 23:00:00,2023-01-22,2023-01-22 23:00:00,0.2,-0.0074033381489253,0,flat,,0.0,0.0,1.0
8,2023-01-22 23:00:00,2023-01-23,2023-01-23 23:00:00,0.2,-0.0078349864950273,0,flat,,0.0,0.0,1.0
9,2023-01-23 23:00:00,2023-01-24,2023-01-24 23:00:00,0.4,-0.0039830687739764,0,flat,,0.0,0.0,1.0
10,2023-01-24 23:00:00,2023-01-25,2023-01-25 23:00:00,1.0,0.0236084072849729,1,time,23060.6,0.019140426472213035,0.17740426472213033,1.1774042647221303
11,2023-01-25 23:00:00,2023-01-26,2023-01-26 23:00:00,0.2,-0.00735238418016,0,flat,,0.0,0.0,1.1774042647221303
12,2023-01-26 23:00:00,2023-01-27,2023-01-27 23:00:00,0.8,0.0038256520385272,0,flat,,0.0,0.0,1.1774042647221303
13,2023-01-27 23:00:00,2023-01-28,2023-01-28 23:00:00,1.0,0.0087492345998786,1,time,23015.9,-0.002262865168782713,-0.03662865168782713,1.134277534013861
14,2023-01-28 23:00:00,2023-01-29,2023-01-29 23:00:00,0.8,0.0055126802286679,0,flat,,0.0,0.0,1.134277534013861
15,2023-01-29 23:00:00,2023-01-30,2023-01-30 23:00:00,0.4,-0.0024457192779787,0,flat,,0.0,0.0,1.134277534013861
