signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,actual_up,mean_pred_up,mean_pred_correct,prob_signal_correct,atr_24_pct,pre_vol_24,pre_vol_72,pre_abs_ret_24,future_vol_24,future_abs_ret_24,atr_24_pct_quintile,pre_vol_24_quintile,pre_vol_72_quintile,pre_abs_ret_24_quintile,future_vol_24_quintile,atr_24_pct_live_percentile,pre_vol_24_live_percentile,pre_vol_72_live_percentile
1,2023-01-15 23:00:00,2023-01-16,2023-01-16 23:00:00,20882.7,20882.7,21188.3,20224.36640625,-0.0315253101251275,0.0,-1,-0.0146341229821813,-0.0160341229821813,True,False,False,False,0.007241640209359896,0.003660234027565666,0.007709204909852444,0.0027523665724778676,0.0055168219729676525,0.014528077540540201,4,3,5,3,4,,,
2,2023-01-16 23:00:00,2023-01-17,2023-01-17 23:00:00,21188.3,21188.2,21130.9,20814.65703125,-0.0176344005300094,0.0,-1,0.0027043354319856,0.0013043354319856,False,False,True,True,0.009479878045902708,0.005516821972967646,0.0076464339274903426,0.0038477914605437777,0.0032195017950458604,0.002712718350053066,5,4,5,4,2,,,
3,2023-01-17 23:00:00,2023-01-18,2023-01-18 23:00:00,21130.9,21130.8,20680.0,20978.6390625,-0.0072056058899527,0.2,-1,0.0213337876464686,0.0199337876464686,False,False,True,True,0.008044893181707037,0.0032195017950458512,0.004204919590590761,0.0027659272698158746,0.005184963857281207,0.02156937454966235,4,2,3,3,4,,,
4,2023-01-18 23:00:00,2023-01-19,2023-01-19 23:00:00,20680.0,20680.1,21068.3,20801.623046875,0.0058811918218085,0.6,1,0.0187716693826431,0.0173716693826431,True,True,True,True,0.009795293359123158,0.0051849638572812,0.004723189632848765,0.003524599376383349,0.003069122401339235,0.018602491484620568,5,4,4,4,2,,,
5,2023-01-19 23:00:00,2023-01-20,2023-01-20 23:00:00,21068.3,21068.3,22661.1,21222.584765625,0.0073230761677497,0.8,1,0.0756017334099097,0.0742017334099097,True,True,True,True,0.00566846874213865,0.003069122401339224,0.0039486833554370614,0.0021695075717164483,0.007957212207414726,0.07288025698612495,2,2,3,2,5,,,
6,2023-01-20 23:00:00,2023-01-21,2023-01-21 23:00:00,22661.1,22661.0,22781.9,22521.598046875,-0.0061560097755624,0.4,-1,-0.0053351573187414,-0.0067351573187414,True,False,False,False,0.00786976360370857,0.00795721220741472,0.005908342062746174,0.004042451496987232,0.006671989616125815,0.0053165629268608775,4,5,5,4,5,,,
7,2023-01-21 23:00:00,2023-01-22,2023-01-22 23:00:00,22781.9,22781.8,22704.6,22613.237890625,-0.0074033381489253,0.2,-1,0.0033886699031683,0.0019886699031683,False,False,True,True,0.010429332057466675,0.0066719896161258115,0.0062838607168740615,0.004383076138771758,0.004377290470766259,0.0033988139080259124,5,5,5,5,3,,,
8,2023-01-22 23:00:00,2023-01-23,2023-01-23 23:00:00,22704.6,22704.7,22913.1,22526.709765625,-0.0078349864950273,0.2,-1,-0.0091787163010301,-0.0105787163010301,True,False,False,False,0.007800915526662738,0.004377290470766254,0.006571508127775273,0.0035102286099884714,0.004729558006387163,0.009141252272530093,4,3,5,4,4,,,
9,2023-01-23 23:00:00,2023-01-24,2023-01-24 23:00:00,22913.1,22913.3,22627.4,22821.835546875,-0.0039830687739764,0.4,-1,0.0124774694173251,0.0110774694173251,False,False,True,True,0.00831638524104843,0.00472955800638716,0.005284142429150762,0.0037596975037736957,0.0034440334529256622,0.012547238094086838,4,4,4,4,2,,,
10,2023-01-24 23:00:00,2023-01-25,2023-01-25 23:00:00,22627.4,22627.5,23060.6,23161.596875,0.0236084072849729,1.0,1,0.019140426472213,0.017740426472213,True,True,True,True,0.00719058162522722,0.003444033452925656,0.00417549373692857,0.0026723991210491813,0.00929246987671892,0.018963972274829488,4,2,3,3,5,,,
